
> cssearth@0.1.0 test:browser /Users/ekrof/fed/cssEarth-pluto-small-moons
> node site/test/dom-cleanliness-browser.mjs

PASS hiiaka DPR 1: 71025 nodes; retained interaction
PASS squannit DPR 1: 71313 nodes; retained interaction
PASS romulus DPR 1: 71025 nodes; retained interaction
PASS menoetius DPR 1: 71025 nodes; retained interaction
PASS caliban DPR 1: 71025 nodes; retained interaction
PASS sycorax DPR 1: 71025 nodes; retained interaction
PASS prospero DPR 1: 71025 nodes; retained interaction
PASS setebos DPR 1: 71025 nodes; retained interaction
PASS paaliaq DPR 1: 71025 nodes; retained interaction
PASS tarvos DPR 1: 71025 nodes; retained interaction
PASS ijiraq DPR 1: 71025 nodes; retained interaction
PASS suttungr DPR 1: 71025 nodes; retained interaction
PASS mundilfari DPR 1: 71025 nodes; retained interaction
PASS skathi DPR 1: 71025 nodes; retained interaction
PASS erriapus DPR 1: 71025 nodes; retained interaction
PASS thrymr DPR 1: 71025 nodes; retained interaction
PASS bebhionn DPR 1: 71025 nodes; retained interaction
PASS bergelmir DPR 1: 71025 nodes; retained interaction
PASS bestla DPR 1: 71025 nodes; retained interaction
PASS fornjot DPR 1: 71025 nodes; retained interaction
PASS hati DPR 1: 71025 nodes; retained interaction
PASS hyrrokkin DPR 1: 71025 nodes; retained interaction
PASS loge DPR 1: 71025 nodes; retained interaction
PASS skoll DPR 1: 71025 nodes; retained interaction
PASS greip DPR 1: 71025 nodes; retained interaction
PASS tarqeq DPR 1: 71025 nodes; retained interaction
PASS albiorix DPR 1: 71025 nodes; retained interaction
PASS kiviuq DPR 1: 70993 nodes; retained interaction
PASS comet-1p DPR 1: 71513 nodes; retained interaction
PASS comet-81p DPR 1: 71505 nodes; retained interaction
PASS comet-103p DPR 1: 71513 nodes; retained interaction
PASS comet-9p DPR 1: 71513 nodes; retained interaction
PASS comet-67p DPR 1: 71513 nodes; retained interaction
PASS ymir DPR 1: 70993 nodes; retained interaction
PASS siarnaq DPR 1: 71025 nodes; retained interaction
PASS himalia DPR 1: 71025 nodes; retained interaction
PASS nereid DPR 1: 71025 nodes; retained interaction
PASS aegaeon DPR 1: 70993 nodes; retained interaction
PASS anthe DPR 1: 71025 nodes; retained interaction
PASS polydeuces DPR 1: 71025 nodes; retained interaction
PASS rosalind DPR 1: 71025 nodes; retained interaction
PASS desdemona DPR 1: 71025 nodes; retained interaction
PASS cressida DPR 1: 71025 nodes; retained interaction
PASS bianca DPR 1: 71025 nodes; retained interaction
PASS ophelia DPR 1: 71033 nodes; retained interaction
PASS cordelia DPR 1: 71025 nodes; retained interaction
PASS belinda DPR 1: 71025 nodes; retained interaction
