source_row,time,x,y,energy_ev,pi,ccd_id,status
1,255835700.37929523,2145.713134765625,4094.2900390625,1894.099853515625,130,6,0
3,255835700.42033523,1958.856689453125,4644.4833984375,1181.083984375,81,7,0
9,255835700.42033523,2751.928955078125,5226.55078125,3182.880615234375,219,7,0
11,255835700.42033523,2633.599853515625,4470.9775390625,2477.951171875,170,7,0
16,255835700.54345524,4970.9814453125,3988.38427734375,4322.6943359375,297,1,0
17,255835700.58449522,4653.8720703125,3119.85205078125,853.8920288085938,59,0,0
19,255835700.58449522,4485.1953125,3832.488037109375,4774.701171875,328,0,0
39,255835706.86132553,2552.120849609375,3646.832275390625,1026.694091796875,71,6,0
46,255835706.90236554,2641.31591796875,5068.67333984375,6991.5009765625,479,7,0
47,255835706.90236554,2727.05908203125,4773.7900390625,2186.65185546875,150,7,0
49,255835706.94340554,3317.153564453125,4569.6259765625,862.9217529296875,60,3,0
50,255835706.98444554,3451.758056640625,3403.33447265625,3243.566162109375,223,2,0
51,255835706.98444554,3093.07177734375,3601.299560546875,6525.63232421875,447,2,0
52,255835706.98444554,3129.267333984375,4284.98974609375,3196.77978515625,219,2,0
55,255835707.025406,4884.49560546875,4139.01904296875,1060.657958984375,73,1,0
58,255835707.06652552,4989.5478515625,3770.705322265625,3056.608642578125,210,0,0
59,255835710.1022462,1900.3209228515625,3562.834228515625,4438.5087890625,305,6,0
62,255835710.1432862,2034.34521484375,5037.64990234375,5397.06689453125,370,7,0
74,255835710.18441573,4060.050048828125,5129.1748046875,637.2442016601562,44,3,0
76,255835710.2253662,3589.47314453125,4177.37548828125,2368.392578125,163,2,0
78,255835710.2664062,4752.40478515625,4069.251953125,1429.24560546875,98,1,0
84,255835710.3075357,4929.865234375,3676.743896484375,1141.0531005859375,79,0,0
99,255835713.4254358,3900.45849609375,4300.50341796875,761.107421875,53,3,0
106,255835716.58429638,1781.185302734375,3860.94873046875,1491.9871826171875,103,6,0
107,255835716.62533638,2065.1103515625,5003.3662109375,5790.1806640625,397,7,0
122,255835716.66637638,3691.075927734375,4642.5361328125,3217.359130859375,221,3,0
126,255835716.7484465,4526.2734375,4350.8193359375,3150.572265625,216,1,0
127,255835716.7484465,4539.65576171875,3962.154541015625,990.7764892578125,68,1,0
128,255835716.78949636,4889.365234375,3733.9140625,1220.404541015625,84,0,0
142,255835719.90740648,3759.8076171875,4925.6484375,1080.7227783203125,75,3,0
143,255835719.90740648,4031.493408203125,4744.810546875,2299.62890625,158,3,0
147,255835719.94842657,3650.30908203125,3676.398681640625,2077.59814453125,143,2,0
150,255835720.03050655,4841.7412109375,3289.80859375,1345.6014404296875,93,0,0
152,255835723.06632668,1892.793701171875,4401.90283203125,1987.05322265625,137,6,0
153,255835723.06632668,1929.7906494140625,3801.367431640625,3901.08642578125,268,6,0
162,255835723.1073866,3032.7119140625,5237.00537109375,661.6729736328125,46,7,0
163,255835723.14840668,3505.7939453125,5157.123046875,5753.12548828125,395,3,0
164,255835723.14840668,3868.913330078125,4521.2548828125,5082.603515625,349,3,0
176,255835726.34839675,2127.93603515625,4630.98193359375,2057.667724609375,141,7,0
178,255835726.34839675,2547.95068359375,5012.42138671875,853.6510009765625,59,7,0
183,255835726.38941684,3592.467529296875,4816.6484375,5843.52490234375,401,3,0
185,255835726.38941684,3844.584716796875,4419.96044921875,1015.09521484375,70,3,0
188,255835726.47151676,4795.25537109375,4777.47607421875,1763.5693359375,121,1,0
193,255835726.51253682,4101.5419921875,3787.507568359375,5527.15380859375,379,0,0
194,255835729.54834706,2188.82080078125,3676.7490234375,4317.45849609375,296,6,0
195,255835729.54834706,2575.8125,3893.41943359375,4311.39892578125,296,6,0
196,255835729.54834706,2549.5771484375,3719.844970703125,1530.631103515625,105,6,0
197,255835729.58939695,2164.515869140625,5362.18798828125,778.1295166015625,54,7,0
199,255835729.58939695,2102.17919921875,4932.1142578125,6225.611328125,427,7,0
208,255835729.67147696,4041.41259765625,4011.893310546875,3981.869384765625,273,2,0
212,255835729.75355694,4065.6259765625,3205.664794921875,1230.2923583984375,85,0,0
216,255835732.7893671,2678.47314453125,4021.725830078125,842.9286499023438,58,6,0
219,255835732.83042705,2273.496337890625,4971.95068359375,5680.39892578125,390,7,0
223,255835732.83042705,2432.37841796875,4629.37939453125,1127.8560791015625,78,7,0
226,255835732.83042705,2465.08154296875,4445.7265625,2335.421630859375,160,7,0
233,255835732.91248712,3595.882080078125,3164.150146484375,1363.558349609375,94,2,0
234,255835732.91248712,3417.14306640625,4026.6865234375,810.3527221679688,56,2,0
237,255835732.95352712,4461.38134765625,4355.3505859375,1145.7584228515625,79,1,0
246,255835736.07142723,2203.002197265625,4453.67578125,907.6607055664062,63,7,0
255,255835736.11245733,3726.07958984375,5177.64453125,3136.30078125,215,3,0
256,255835736.11245733,3658.69287109375,4773.01904296875,6871.6982421875,471,3,0
258,255835736.2355872,4211.39404296875,3185.506103515625,5471.6494140625,375,0,0
260,255835736.2355872,4834.52392578125,3269.5126953125,2664.04931640625,183,0,0
261,255835736.2355872,4387.23779296875,3679.022216796875,2152.31005859375,148,0,0
262,255835739.2713974,1901.67578125,3545.324951171875,1415.649169921875,97,6,0
263,255835739.2713974,2250.80419921875,4208.88916015625,3656.84228515625,251,6,0
