BAT99-1            71.3843765 -70.2530289 F03  WN3b                           Sk -70 1
Sk -69 1           71.3865433 -69.4670029 C86  B1 III                         
Sk -67 1           71.4227524 -67.5705261 C86  B extr                         
Sk -67 2           71.7685394 -67.1147461 F88  B1 Ia+                         
Sk -70 1a          71.8649979 -70.5626984 C86  O9 II                          
Sk -69 8           72.3293762 -69.4318314 F88  B5 Ia                          
BAT99-2            72.4009000 -69.3484000 F03  WN2b(h)                        
Sk -69 9           72.4642105 -69.2011948 J01  O6.5 III                       
Sk -67 4           72.4664154 -67.6874695 J01  O9 Ib                          
Sk -70 2           72.4917068 -70.3507767 C86  B5 II                          
Sk -67 5           72.5788345 -67.6605606 W02  O9.7 Ib                        
Sk -67 6           72.8780823 -67.4729996 C86  B0 II                          
LH2-21             72.9415817 -69.3405304 P01  O9.7 Ib                        
LH2-23             72.9460449 -69.3178635 P01  O9.7 Ib                        
BI 4               72.9947510 -68.7733612 C86  B0 n                           
LH2-81             73.0027466 -69.3471451 P01  O6 V                           
LH2-96             73.0100021 -69.3425827 P01  O7.5 Vz                        
LH2-142            73.0380020 -69.3432541 P01  O7 II:                         
LH2-180            73.0494995 -69.3403397 P01  O9.5 V                         
LH2-223            73.0759201 -69.3365860 P01  O8 II((f))                     
Sk -66 1           73.0795441 -66.7314758 F88  B1.5 Ia                        
LH2-229            73.0804977 -69.3470306 P01  O9.5 V:                        
LH2-250            73.0889130 -69.3414993 P01  O7 V                           
BI 7               73.1261215 -70.0395279 M95  B1 III                         
BI 9               73.1995392 -68.7941132 M09  O7.5 III((f))                  
Sk -66 2           73.2133331 -66.5076370 C86  B2 III                         
BAT99-3            73.2391281 -66.6870880 F03  WN4b                           Sk -66 3
Sk -67 9a          73.2698746 -67.1334152 C86  O9 III                         
BI 13              73.2770844 -68.0563354 C86  O6.5 V                         
Sk -68 7           73.3621674 -68.4997711 J01  B0.5 I                         
BAT99-4            73.3746000 -69.2968000 H92  similar to Of/Of?p             
Sk -66 5           73.3751221 -66.9244995 F88  B2.5 Ia                        
Sk -66 5a          73.3905411 -66.9020844 C86  B3 II                          
Sk -66 6           73.3956223 -66.9379730 J01  B0.7 II                        
Sk -68 8           73.4303360 -68.7148056 F88  B5 Ia+                         
LH5-25             73.4878311 -69.2102432 M00  B1 III                         
Sk -70 13          73.5048370 -69.9965210 M95  O9 V                           
LH5-24             73.5098343 -69.2084122 M00  O7.5 V                         
Sk -69 25          73.5152893 -69.1990585 M00  O6 V((f))                      
Sk -65 1           73.5273361 -65.5895615 J01  B0.5 I                         
Sk -69 30          73.5593719 -69.2101364 M00  G5 Ia                          
Sk -69 29          73.5594177 -69.2536926 M00  O9 I                           
LH5-16             73.5646667 -69.2043839 M00  O7 V                           
LH5-12             73.5917511 -69.1627808 M00  O7.5 V                         
BAT99-5            73.6169000 -69.2139000 F03  WN2b                           
LH5-9              73.6240387 -69.1605301 M00  O7.5 V                         
Sk -67 14          73.6328735 -67.2568359 W02  B1.5 Ia                        
LH5-7              73.6427078 -69.1569748 M00  B1 III                         
Sk -66 10          73.7005386 -66.3731384 C86  B3 II                          
BI 23              73.7326279 -68.3623352 C86  B0 II                          
Sk -66 12          73.7389603 -66.7524414 F88  B8 Ia                          
BI 24              73.7738724 -66.5325012 M95  O7 III                         
Sk -67 16          73.7905807 -67.5273666 C86  B2 II                          
BAT99-6            73.8121643 -67.1899185 N01  O3f* + O EB                    Sk -67 18
Sk -66 14          73.8158722 -66.8100891 M95  B1 Ib                          
N11-097            73.8235855 -66.4599380 E06  B3 II                          
N11-081            73.8244553 -66.5304794 E06  B0: n (Be-Fe)                  
N11-008            73.8431244 -66.4719162 E06  B0.5 Ia                        
N11-089            73.8680420 -66.4948883 E06  B2 III Binary (SB1)            
Sk -69 36          73.8705444 -69.1911697 M95  B0.5 III                       
N11-004            73.8725815 -66.3866653 E06  O9.7 Ib                        
N11-093            73.8747940 -66.5104141 E06  B2.5 III                       
BAT99-7            73.8806229 -67.5007477 F03  WN4b                           Sk -67 20
N11-107            73.8870850 -66.5420303 E06  B1-2 +early-B Binary (SB2)     
N11-024            73.8872070 -66.4243622 E06  B1 Ib                          
BI 28              73.8946686 -69.8097534 M95  B1 V                           
BI 31              73.9496689 -68.6444397 C86  O7 (f)                         
N11-030            73.9515839 -66.4948273 E06  B1e Binary                     
N11-109            73.9545822 -66.4608612 E06  B0.5 Ib                        
N11-119            73.9560394 -66.4343033 E06  B1.5 V Binary (SB2)            
N11-072            73.9651260 -66.3659744 E06  B0.2 V                         
N11-058            73.9681244 -66.5703888 E06  O5.5 V((f))                    
N11-102            73.9743347 -66.5748291 E06  B0.2 V                         
N11-092            73.9757919 -66.4170837 E06  O7 V Binary                    
N11-116            73.9783325 -66.4616089 E06  B2 III                         
N11-104            73.9801254 -66.3658905 E06  B1.5 V                         
N11-011            73.9812469 -66.4723053 E06  OC9.5 II Binary (SB1)          
N11-029            73.9847488 -66.4844131 E06  OC9.7 Ib                       
Sk -66 18          73.9992065 -65.9749146 M95  O6 V((f))                      
N11-022            74.0037537 -66.4378891 E06  O6.5 II(f)                     Sk -66 20
N11-077            74.0056686 -66.3475571 E06  B2 III Binary (SB1)            
BAT99-8            74.0120010 -69.4559708 B01  WC4                            Sk -69 42
N11-068            74.0192108 -66.3993835 E06  O7 V((f))                      
N11-078            74.0205841 -66.5235596 E06  B2 (Be-Fe) Binary (SB1)        
N11-111            74.0244141 -66.3652191 E06  B1.5 III                       
N11-084            74.0383301 -66.4523544 E06  B0.5 V                         
Sk -69 43          74.0435410 -69.2606354 F88  B0.5 Ia                        
N11-033            74.0459976 -66.4733047 E06  B0 IIIn                        
BAT99-9            74.0462112 -66.2924957 B01  WC4                            Sk -66 21
N11-019            74.0488358 -66.5330887 E06  O8-9 V-III((f)) Binary (SB2)   
N11-023            74.0643311 -66.4596939 E06  B0.7 Ib                        
N11-057            74.0644989 -66.4615250 E06  A0 II                          
1016               74.0647888 -66.4542999 P92  B1 V                           
N11-042            74.0648727 -66.4558868 E06  B0 III                         
Sk -70 18          74.0687943 -69.9936905 C86  B0 n                           
N11-007            74.0720444 -66.5176697 E06  O8 Ib (f)                      
N11-039            74.0722046 -66.2966690 E06  B2 III 286                     
1025               74.0726700 -66.4582748 P92  early K I                      
N11-017            74.0732117 -66.3051453 E06  B2.5 Iab                       
N11-124            74.0776215 -66.4769974 E06  B0.5 V Binary (SB1)            
N11-065            74.0806274 -66.4505005 E06  O6.5 V((f))                    
N11-074            74.0812073 -66.4605255 E06  B0.5 (Be-Fe)                   
N11-016            74.0857925 -66.4538879 E06  B1 Ib                          Sk -66 26
N11-069            74.0866699 -66.4509125 E06  B1 III                         
N11-037            74.0930405 -66.4679413 E06  B0 III Binary (SB1)            
1058               74.0970383 -66.4533310 P92  early K I                      
N11-002            74.0979614 -66.4976883 E06  B3 Ia                          Sk -66 27
N11-047            74.1061630 -66.4425583 E06  B0 III Binary (SB1)            
N11-122            74.1198349 -66.4797516 E06  O9.5 V                         
N11-049            74.1232910 -66.4723587 E06  O7.5 V Binary (SB1)            
N11-051            74.1238327 -66.3606949 E06  O5 Vn((f))                     
N11-021            74.1274185 -66.3023911 E06  A7 II                          
N11-059            74.1292496 -66.4779968 E06  O9 V Binary (SB1)              
N11-088            74.1372070 -66.4811401 E06  B1 III                         
N11-076            74.1399155 -66.3911057 E06  B0.2 Ia                        
1194               74.1426697 -66.4811707 P92  O9.5: IV                       
1200               74.1436691 -66.4893036 P92  O6:: V:p                       
BAT99-10           74.1442947 -66.4739990 B01  WC4(+O9.5II:)                  Sk -66 28
N11-025            74.1451645 -66.4730835 E06  O8.5 V                         
3016               74.1457901 -66.4223022 P92  O9.5: V                        
1239               74.1512909 -66.4904709 P92  O7-O8: V:                      
N11-101            74.1588364 -66.3983841 E06  B0.2 V                         
1288               74.1630859 -66.4817810 P92  O9 V                           
N11-087            74.1632538 -66.4138870 E06  O9.5 Vn                        
N11-085            74.1639175 -66.4830551 E06  B0.5 V                         
1292               74.1640396 -66.4915237 P92  O9: III:                       
3045               74.1660385 -66.4150848 P92  O9.5 III                       
1303               74.1696701 -66.4919128 P92  B0.5: V                        
1310               74.1710815 -66.4611053 P92  B0 V                           
1321               74.1752472 -66.4766693 P92  B1: V                          
N11-106            74.1753311 -66.5219498 E06  B0 V                           
N11-060            74.1756668 -66.4151154 E06  O3 V((f))                      
N11-031            74.1770401 -66.4216614 E06  ON2 III (f)                    
N11-034            74.1777496 -66.4958572 E06  B0.5 III                       
3070               74.1804199 -66.4172745 P92  O6 V                           
3073               74.1807938 -66.4150848 P92  O6.5 V                         
1342               74.1817932 -66.4898605 P92  B0 V                           
N11-086            74.1820450 -66.4766693 E06  B1 V                           
N11-103            74.1831665 -66.4706955 E06  B1-2 +early-B Binary           
N11-118            74.1845856 -66.3846664 E06  B1.5 V Binary (SB1)            
N11-121            74.1855011 -66.5009155 E06  B1 Vn                          
1350               74.1856232 -66.4849701 P92  B1: V:                         
3089               74.1858368 -66.4093628 P92  O8 V                           
