A09     2009ApJ...707.1080A Antoniou et al.        
B01     2001MNRAS.324...18B Bartzakos et al.        
B95     1995ApJ...446L..23B Barba et al.         
E04     2004MNRAS.353..601E Evans et al.              Cat. J/MNRAS/353/601
E06     2006A&A...456..623E Evans et al.              Cat. J/A+A/456/623
E10     ................... Hunter et al.             in preparation 
F03     2003MNRAS.338..360F Foellmi et al.         
H03     2003MNRAS.339..157H Harries et al.         
H05     2005MNRAS.357..304H Hilditch et al.         
H83     1983ApJ...265..176H Humphreys         
L06     2006ApJ...645.1102L Levesque et al.         
L07     2007ApJ...667..202L Levesque et al.         
L97     1997A&A...317..871L Lennon         
M00     2000AJ....119.2214M Massey et al.             Cat. J/AJ/119/2214
M02     2002ApJS..141...81M Massey                    Cat. II/236
M03     2003AJ....126.2867M Massey et al.             Cat. J/AJ/126/2867
M05     2005ApJ...627..477M Massey et al.         
M06     2006A&A...457..949M Mennickent et al.         
M07     2007A&A...472..577M Martayan et al.           and 2007A&A...462..683M, Cat. J/A+A/472/577 and Cat. J/A+A/462/683
M09     2009ApJ...692..618M Massey et al.         
M95     1995ApJ...438..188M Massey et al.         
P08     2008ApJ...673L..59P Prieto et al.         
R05     2005A&AT...24..151R Raguzova & Popov         
W07     2007ApJ...670.1331W Wisniewski et al.         
Z06     ................... Zickgraf                  2006, ASP Conf. ser. 355, 135
GC87    1987AJ.....93.1070G Garmany et al.         
MO03    2003AJ....126.2867M Massey & Olsen            Cat. J/AJ/126/2867
SB97    1997AcA....47..319U Smith Neubig & Bruhweiler         
MPG89   1989AJ.....98.1305M Massey et al.             Cat. J/AJ/98/1305
