2dFS0001                                                       6.944625 -73.27911 E04      O9.5:
2dFS0002                                                       7.036375 -73.49611 E04      B0-5V
2dFS0003                                                       7.089875 -73.17531 E04      B0-5V
2dFS0004                                                       7.102458 -73.88650 E04      B0-5III
2dFS0005                                                       7.137542 -73.30739 E04      B0-5V
2dFS0006                                                       7.243000 -73.46847 E04      A2II
2dFS0007                                                       7.246125 -73.28139 E04      B1-3II
2dFS0008                                                       7.322250 -73.14731 E04      B0-5IV
2dFS0009                                                       7.345042 -73.74619 E04      B0-5III
2dFS0010                                                       7.349375 -73.73997 E04      B0-5V
2dFS0011                                                       7.400583 -73.80861 E04      B1-5IV
2dFS0012                                                       7.435750 -73.40703 E04      B0-5V
2dFS0013                                                       7.523458 -73.74297 E04      B0-5V
2dFS0014                                                       7.529583 -74.21183 E04      B1-5II
2dFS0015                                                       7.607417 -73.42008 E04      A0II
2dFS0016                                                       7.638500 -73.95272 E04      A0II
2dFS0017                                                       7.643542 -73.87083 E04      B0-5V
2dFS0018                                                       7.691125 -73.76333 E04      B0-5II
2dFS0019                                                       7.706292 -73.99994 E04      A0II
2dFS0020                                                       7.746792 -74.11461 E04      B0-5V
2dFS0021                                                       7.747125 -73.86653 E04      B0-5II
2dFS0022                                                       7.749292 -73.25556 E04      B0-5II
2dFS0023                                                       7.777250 -73.82339 E04      B3-5III
2dFS0024                                                       7.780042 -73.45267 E04      B3IV
2dFS0025                                                       7.781792 -73.11200 E04      B1-5IV
2dFS0026                                                       7.798458 -73.99333 E04      B1-3V
2dFS0027                                                       7.808167 -73.66931 E04      B1-3Ve
2dFS0028                                                       7.841042 -73.58047 E04      A0:Ib
2dFS0029                                                       7.841542 -72.98142 E04      A3III
2dFS0030                                                       7.865167 -73.40464 E04      A3II
2dFS0031                                                       7.868792 -73.84978 E04      B0-5IV
2dFS0032                                                       7.920500 -73.38628 E04      B1-2V
2dFS0033                                                       7.956083 -73.96994 E04      B1-3V
2dFS0034                                                       7.977167 -73.82456 E04      B1-3V
2dFS0035                                                       7.994958 -73.86869 E04      A2II
2dFS0036                                                       8.013833 -73.30761 E04      B0-5V
2dFS0037                                                       8.021167 -73.95358 E04      B1-5IV
2dFS0038                                                       8.049000 -73.86433 E04      B1-3V
2dFS0039                                                       8.053042 -73.55722 E04      B0-5V
2dFS0040                                                       8.055750 -73.50075 E04      A0:II
2dFS0041                                                       8.071625 -73.59622 E04      B1-5IV
2dFS0042                                                       8.086417 -73.62319 E04      B1-5III
2dFS0043                                                       8.107875 -73.67281 E04      B0-5V
2dFS0044                                                       8.126583 -73.63889 E04      B0-5IV
2dFS0045                                                       8.134125 -73.78778 E04      B0-5V
2dFS0046                                                       8.178083 -73.91858 E04      B0-5V
2dFS0047                                                       8.191958 -73.38733 E04      B0-5V
2dFS0048                                                       8.193750 -73.69550 E04      A0II
2dFS0049                                                       8.202292 -73.68089 E04      B0-5IV
2dFS0050                                                       8.223708 -73.80878 E04      B0.5V
2dFS0051                                                       8.233000 -73.25336 E04      B1-2V
J0032.9-7348                                                   8.233750 -73.80528 R05      Be XRB
2dFS0052                                                       8.234208 -73.64119 E04      B0-5IV
2dFS0053                                                       8.236458 -73.71889 E04      B0-5V
2dFS0054                                                       8.299125 -74.34586 E04      A2II
2dFS0055                                                       8.323917 -73.66278 E04      B9II
2dFS0056                                                       8.323958 -73.92344 E04      B8IV
2dFS0057                                                       8.342792 -74.01961 E04      A0II
2dFS0058                                                       8.358708 -73.18228 E04      B0-5IIIe
2dFS0059                                                       8.382542 -73.88339 E04      B5IV
2dFS0060                                                       8.408250 -73.57714 E04      B0-5III
2dFS0061                                                       8.410167 -73.97292 E04      B1-3IV
2dFS0062                                                       8.411667 -74.06450 E04      B9Ib
2dFS0063                                                       8.412208 -73.76556 E04      B1-5V
2dFS0064                                                       8.412292 -73.60600 E04      B0-5V
2dFS0065                                                       8.452250 -73.70544 E04      B0-5V
2dFS0066                                                       8.455917 -73.44181 E04      B5II
2dFS0067                                                       8.465167 -73.34836 E04      B0-5V
2dFS0068                                                       8.471625 -73.69367 E04      A3II
2dFS0069                                                       8.488708 -73.83553 E04      B0-5V
2dFS0070                                                       8.503583 -73.30194 E04      A0II
2dFS0071                                                       8.509875 -72.94597 E04      B1-5V
2dFS0072                                                       8.540542 -74.23367 E04      B8II
2dFS0073                                                       8.541750 -73.16367 E04      F5
2dFS0074                                                       8.554958 -73.68006 E04      B1-5V
2dFS0075                                                       8.558792 -73.96675 E04      B2.5III
2dFS0076                                                       8.565125 -73.69447 E04      B3-5III
2dFS0077                                                       8.581000 -73.80417 E04      B1-5V
2dFS0078                                                       8.581167 -74.04283 E04      A0II
2dFS0079                                                       8.594667 -73.93800 E04      B1-5V
2dFS0080                                                       8.600417 -74.11703 E04      B0-5Ve
2dFS0081                                                       8.608667 -73.93803 E04      A7II
2dFS0082                                                       8.611625 -73.83436 E04      B3-5IV
2dFS0083                                                       8.620375 -73.96953 E04      B1-5IV
2dFS0084                                                       8.621625 -74.10683 E04      B0-5V
2dFS0085                                                       8.633125 -73.62028 E04      A2III
2dFS0086                                                       8.634667 -73.43928 E04      B5IIIe?
2dFS0087                                                       8.636167 -73.66317 E04      B0-5V
2dFS0088                                                       8.644167 -73.73569 E04      B3IIIe?
2dFS0089                                                       8.647750 -73.29217 E04      B5III
2dFS0090                                                       8.651458 -73.14028 E04      A5II
2dFS0091                                                       8.652208 -73.48622 E04      B2.5V
2dFS0092                                                       8.654375 -74.15142 E04      B2V
2dFS0093                                                       8.660958 -73.69819 E04      B3IV
2dFS0094                                                       8.664833 -73.09128 E04      A2II
2dFS0095                                                       8.692750 -73.46558 E04      B0-5V
2dFS0096                                                       8.693208 -73.39900 E04      B5III
2dFS0097                                                       8.693500 -73.83814 E04      B0-5V
2dFS0098                                                       8.705375 -74.41028 E04      B1-3V
2dFS0099                                                       8.709375 -73.06400 E04      A5II
2dFS0100                                                       8.713042 -73.00797 E04      B0-5V
2dFS0101                                                       8.728417 -73.05514 E04      B1-5III
2dFS0102                                                       8.734625 -73.98200 E04      B3-5IV
2dFS0103                                                       8.749542 -73.74128 E04      B0-5Ve
2dFS0104                                                       8.754958 -73.95881 E04      B0-5IVe
