logg	Teff	Z	xi	a	b	Filt	Met	Mod
[cm/s2]	K	[Sun]	km/s	 	 	 	 	
-----	------	----	----	-------	-------	--	-	-
 1.00	  3500	 0.0	 2.0	 1.0738	-0.2625	v 	L	A
 1.50	  3500	 0.0	 2.0	 1.0827	-0.2559	v 	L	A
 1.00	  3750	 0.0	 2.0	 1.2386	-0.4124	v 	L	A
 1.50	  3750	 0.0	 2.0	 1.2435	-0.4086	v 	L	A
 1.00	  4000	 0.0	 2.0	 1.2966	-0.4383	v 	L	A
 1.50	  4000	 0.0	 2.0	 1.3026	-0.4377	v 	L	A
 1.00	  4250	 0.0	 2.0	 1.2686	-0.3964	v 	L	A
 1.50	  4250	 0.0	 2.0	 1.2707	-0.3907	v 	L	A
 1.00	  3500	 0.0	 2.0	 1.0713	-0.2159	V 	L	A
 1.50	  3500	 0.0	 2.0	 1.0644	-0.2121	V 	L	A
 1.00	  3750	 0.0	 2.0	 1.0072	-0.1628	V 	L	A
 1.50	  3750	 0.0	 2.0	 1.0015	-0.1592	V 	L	A
 1.00	  4000	 0.0	 2.0	 0.9353	-0.0971	V 	L	A
 1.50	  4000	 0.0	 2.0	 0.9335	-0.0949	V 	L	A
 1.00	  4250	 0.0	 2.0	 0.8505	-0.0246	V 	L	A
 1.50	  4250	 0.0	 2.0	 0.8522	-0.0242	V 	L	A
