lambda	m(HR1457)
nm	mag
---	------
320	 3.289
321	 3.326
322	 3.419
323	 3.481
324	 3.420
325	 3.422
326	 3.331
327	 3.265
328	 3.381
329	 3.285
330	 3.179
331	 3.301
332	 3.241
333	 3.232
334	 3.326
335	 3.230
336	 3.348
337	 3.423
338	 3.247
339	 3.325
340	 3.103
341	 3.310
342	 3.090
343	 3.088
344	 3.342
345	 3.176
346	 3.193
347	 3.197
348	 3.221
349	 3.203
350	 3.052
351	 3.101
352	 3.233
353	 3.117
354	 2.837
355	 3.007
356	 3.072
357	 3.395
358	 3.464
359	 3.373
360	 3.057
361	 3.294
362	 3.049
363	 2.939
364	 2.795
365	 2.999
366	 2.601
367	 2.691
368	 2.797
369	 2.866
370	 2.697
371	 2.893
372	 3.102
373	 3.172
374	 3.297
375	 3.306
376	 3.117
377	 2.849
378	 2.671
379	 2.962
380	 3.017
381	 2.872
382	 3.360
383	 3.352
384	 3.228
385	 2.996
386	 3.171
387	 3.002
388	 3.031
389	 2.906
390	 2.833
391	 2.716
392	 2.921
393	 3.500
394	 3.462
395	 2.809
396	 3.054
397	 3.564
398	 2.616
399	 2.295
400	 2.141
401	 2.066
402	 1.931
403	 2.106
404	 1.959
405	 2.029
406	 2.036
407	 1.981
408	 1.874
409	 1.613
410	 1.936
411	 1.792
412	 1.848
413	 1.840
414	 1.900
415	 1.906
416	 1.712
417	 1.856
418	 1.811
419	 1.687
420	 1.871
421	 1.644
422	 1.686
423	 2.321
424	 1.620
425	 1.552
426	 1.700
427	 1.543
428	 1.593
429	 1.700
430	 1.645
431	 1.734
432	 1.124
433	 1.226
434	 1.163
435	 1.074
436	 1.025
437	 1.003
438	 1.225
439	 1.291
440	 1.038
441	 1.202
442	 1.054
443	 0.966
444	 0.990
445	 0.828
446	 1.101
447	 0.901
448	 0.746
449	 0.714
450	 0.761
451	 0.610
452	 0.668
453	 0.907
454	 0.758
455	 0.707
456	 0.614
457	 0.594
458	 0.587
459	 0.589
460	 0.640
461	 0.516
462	 0.394
463	 0.449
464	 0.596
465	 0.625
466	 0.463
467	 0.628
468	 0.527
469	 0.536
470	 0.484
471	 0.529
472	 0.454
473	 0.544
474	 0.471
475	 0.430
476	 0.491
477	 0.598
478	 0.539
479	 0.606
480	 0.457
481	 0.515
482	 0.457
483	 0.486
484	 0.495
485	 0.466
486	 0.561
487	 0.525
488	 0.457
489	 0.537
490	 0.321
491	 0.350
492	 0.426
493	 0.300
494	 0.375
495	 0.221
496	 0.461
497	 0.440
498	 0.423
499	 0.428
500	 0.425
501	 0.506
502	 0.548
503	 0.421
504	 0.498
505	 0.388
506	 0.301
507	 0.470
508	 0.505
509	 0.431
510	 0.453
511	 0.514
512	 0.412
513	 0.575
514	 0.419
515	 0.549
516	 0.377
517	 0.872
518	 0.734
519	 0.526
520	 0.416
521	 0.683
522	 0.280
523	 0.352
524	 0.199
525	 0.362
526	 0.246
527	 0.506
528	 0.202
529	 0.104
530	 0.246
531	 0.066
532	 0.109
533	 0.298
534	 0.146
535	 0.127
536	-0.003
537	 0.148
538	 0.026
539	 0.125
540	 0.177
541	 0.216
542	 0.014
543	 0.100
544	 0.043
545	 0.157
546	 0.180
547	 0.122
548	 0.182
549	 0.094
550	 0.081
551	 0.149
552	 0.077
553	 0.065
554	 0.016
555	 0.000
556	 0.037
557	 0.068
558	 0.013
559	 0.153
560	 0.109
561	-0.001
562	 0.097
563	 0.062
564	 0.089
565	 0.023
566	 0.088
567	 0.040
568	-0.013
569	-0.012
570	 0.026
571	 0.085
572	-0.058
573	-0.020
574	-0.047
575	-0.072
576	-0.048
577	-0.098
578	 0.011
579	-0.021
580	-0.118
581	-0.117
582	-0.096
583	-0.130
584	-0.123
585	-0.068
586	-0.014
587	-0.050
588	 0.017
589	 0.286
590	 0.227
591	 0.020
592	 0.019
593	-0.030
594	-0.009
595	-0.045
596	-0.022
597	-0.083
598	-0.048
599	-0.092
600	-0.080
601	-0.057
602	-0.069
603	-0.141
604	-0.168
605	-0.186
606	-0.141
607	-0.216
608	-0.164
609	-0.148
610	-0.160
611	-0.167
612	-0.134
613	-0.170
614	-0.104
615	-0.158
616	 0.018
617	 0.027
618	-0.039
619	 0.107
620	-0.001
621	-0.009
622	 0.158
623	 0.150
624	 0.116
625	 0.071
626	 0.147
627	 0.038
628	 0.052
629	-0.061
630	 0.000
631	-0.077
632	-0.061
633	-0.156
634	-0.132
635	-0.144
636	-0.034
637	-0.176
638	-0.195
639	-0.189
640	-0.194
641	-0.201
642	-0.199
643	-0.180
644	-0.243
645	-0.162
646	-0.236
647	-0.242
648	-0.195
649	-0.168
650	-0.088
651	-0.200
652	-0.226
653	-0.222
654	-0.253
655	-0.182
656	-0.088
657	-0.178
658	-0.221
659	-0.212
660	-0.223
661	-0.174
662	-0.244
663	-0.182
664	-0.218
665	-0.197
666	-0.187
667	-0.175
668	-0.153
669	-0.177
670	-0.164
671	-0.186
672	-0.105
673	-0.160
674	-0.135
675	-0.086
676	-0.176
677	-0.136
678	-0.189
679	-0.136
680	-0.176
681	-0.186
682	-0.190
683	-0.185
684	-0.179
685	-0.204
686	-0.162
687	 0.217
688	-0.094
689	-0.090
690	-0.114
691	-0.175
692	-0.200
693	-0.187
694	-0.206
695	-0.215
696	-0.285
697	-0.307
698	-0.220
