logg	Teff	Z	xi	a	b	Filt	Met	Mod
[cm/s2]	K	[Sun]	km/s	 	 	 	 	
-----	------	----	----	-------	-------	--	-	-
 3.50	  7250	 0.0	 2.0	 0.4800	 0.3001	v 	L	A
 4.00	  7250	 0.0	 2.0	 0.4344	 0.3321	v 	L	A
 3.50	  7500	 0.0	 2.0	 0.4806	 0.3097	v 	L	A
 4.00	  7500	 0.0	 2.0	 0.4050	 0.3513	v 	L	A
 3.50	  7750	 0.0	 2.0	 0.4826	 0.3164	v 	L	A
 4.00	  7750	 0.0	 2.0	 0.4033	 0.3579	v 	L	A
 3.50	  8000	 0.0	 2.0	 0.4932	 0.3043	v 	L	A
 4.00	  8000	 0.0	 2.0	 0.4048	 0.3648	v 	L	A
 3.50	  7250	 0.0	 2.0	 0.3127	 0.3248	V 	L	A
 4.00	  7250	 0.0	 2.0	 0.2912	 0.3419	V 	L	A
 3.50	  7500	 0.0	 2.0	 0.3412	 0.3052	V 	L	A
 4.00	  7500	 0.0	 2.0	 0.2771	 0.3466	V 	L	A
 3.50	  7750	 0.0	 2.0	 0.3516	 0.3056	V 	L	A
 4.00	  7750	 0.0	 2.0	 0.2969	 0.3322	V 	L	A
 3.50	  8000	 0.0	 2.0	 0.3581	 0.2969	V 	L	A
 4.00	  8000	 0.0	 2.0	 0.3131	 0.3267	V 	L	A
