lambda	m(HR5459)
nm	mag
---	------
320	 0.997
321	 1.009
322	 1.030
323	 1.237
324	 1.051
325	 1.019
326	 0.737
327	 0.742
328	 0.842
329	 0.769
330	 0.632
331	 0.819
332	 0.799
333	 0.780
334	 0.845
335	 0.753
336	 0.918
337	 0.991
338	 0.845
339	 0.801
340	 0.707
341	 0.858
342	 0.775
343	 0.755
344	 1.046
345	 0.843
346	 0.898
347	 0.847
348	 0.930
349	 0.950
350	 0.752
351	 0.814
352	 0.833
353	 0.831
354	 0.685
355	 0.702
356	 0.775
357	 1.006
358	 1.096
359	 0.958
360	 0.644
361	 0.867
362	 0.838
363	 0.691
364	 0.639
365	 0.674
366	 0.461
367	 0.494
368	 0.580
369	 0.546
370	 0.478
371	 0.523
372	 0.635
373	 0.712
374	 0.778
375	 0.741
376	 0.667
377	 0.593
378	 0.400
379	 0.660
380	 0.697
381	 0.596
382	 0.943
383	 1.220
384	 1.060
385	 0.792
386	 0.917
387	 0.883
388	 0.828
389	 0.695
390	 0.544
391	 0.424
392	 0.525
393	 1.258
394	 0.921
395	 0.417
396	 0.596
397	 1.243
398	 0.342
399	 0.180
400	 0.136
401	 0.096
402	 0.053
403	 0.108
404	 0.056
405	 0.120
406	 0.194
407	 0.137
408	 0.131
409	 0.018
410	 0.276
411	 0.067
412	 0.033
413	 0.111
414	 0.054
415	 0.079
416	 0.045
417	 0.110
418	 0.125
419	 0.088
420	 0.163
421	 0.017
422	 0.056
423	 0.147
424	 0.079
425	 0.119
426	 0.115
427	 0.186
428	 0.102
429	 0.184
430	 0.405
431	 0.404
432	 0.020
433	 0.054
434	 0.249
435	 0.066
436	-0.022
437	 0.011
438	 0.125
439	 0.111
440	 0.026
441	-0.003
442	-0.047
443	-0.047
444	-0.038
445	-0.090
446	 0.042
447	-0.086
448	-0.100
449	-0.091
450	-0.146
451	-0.177
452	-0.131
453	 0.004
454	-0.112
455	-0.051
456	-0.126
457	-0.125
458	-0.080
459	-0.089
460	-0.077
461	-0.123
462	-0.136
463	-0.135
464	-0.091
465	-0.056
466	-0.107
467	-0.023
468	-0.071
469	-0.085
470	-0.034
471	-0.044
472	-0.152
473	-0.057
474	-0.112
475	-0.102
476	-0.074
477	-0.093
478	-0.131
479	-0.103
480	-0.124
481	-0.096
482	-0.127
483	-0.100
484	-0.069
485	-0.054
486	 0.221
487	 0.050
488	-0.055
489	-0.015
490	-0.102
491	-0.063
492	 0.037
493	-0.084
494	-0.060
495	-0.119
496	-0.079
497	-0.092
498	 0.007
499	-0.078
500	-0.014
501	 0.002
502	 0.003
503	-0.058
504	 0.005
505	-0.035
506	-0.089
507	-0.044
508	 0.001
509	-0.075
510	-0.002
511	-0.026
512	-0.028
513	 0.004
514	 0.047
515	 0.023
516	 0.020
517	 0.258
518	 0.114
519	 0.046
520	 0.003
521	 0.013
522	-0.007
523	 0.061
524	-0.049
525	-0.008
526	 0.014
527	 0.131
528	 0.011
529	-0.085
530	 0.003
531	-0.077
532	-0.012
533	 0.039
534	-0.003
535	-0.033
536	-0.046
537	 0.030
538	-0.020
539	 0.016
540	 0.072
541	 0.049
542	 0.018
543	 0.026
544	-0.028
545	-0.004
546	-0.002
547	-0.002
548	 0.043
549	 0.007
550	 0.010
551	 0.030
552	-0.013
553	 0.038
554	 0.013
555	 0.000
556	 0.033
557	 0.055
558	 0.028
559	 0.102
560	 0.070
561	 0.003
562	 0.060
563	 0.023
564	 0.051
565	 0.030
566	 0.079
567	 0.024
568	 0.048
569	 0.057
570	 0.046
571	 0.104
572	 0.014
573	 0.018
574	 0.013
575	 0.058
576	 0.042
577	 0.024
578	 0.067
579	 0.050
580	 0.031
581	 0.036
582	 0.025
583	 0.017
584	 0.018
585	 0.044
586	 0.079
587	 0.038
588	 0.049
589	 0.197
590	 0.100
591	 0.063
592	 0.049
593	 0.075
594	 0.045
595	 0.081
596	 0.067
597	 0.061
598	 0.088
599	 0.084
600	 0.097
601	 0.113
602	 0.129
603	 0.083
604	 0.085
605	 0.080
606	 0.093
607	 0.080
608	 0.112
609	 0.117
610	 0.134
611	 0.105
612	 0.134
613	 0.119
614	 0.172
615	 0.131
616	 0.189
617	 0.167
618	 0.136
619	 0.165
620	 0.130
621	 0.136
622	 0.151
623	 0.167
624	 0.172
625	 0.177
626	 0.167
627	 0.140
628	 0.195
629	 0.157
630	 0.200
631	 0.179
632	 0.191
633	 0.164
634	 0.189
635	 0.161
636	 0.207
637	 0.163
638	 0.169
639	 0.168
640	 0.186
641	 0.210
642	 0.199
643	 0.175
644	 0.185
645	 0.196
646	 0.202
647	 0.183
648	 0.186
649	 0.203
650	 0.217
651	 0.173
652	 0.201
653	 0.202
654	 0.190
655	 0.232
656	 0.475
657	 0.281
658	 0.215
659	 0.230
660	 0.203
661	 0.213
662	 0.196
663	 0.227
664	 0.213
665	 0.199
666	 0.222
667	 0.212
668	 0.226
669	 0.216
670	 0.229
671	 0.233
672	 0.246
673	 0.226
674	 0.230
675	 0.246
676	 0.236
677	 0.256
678	 0.244
679	 0.247
680	 0.256
681	 0.259
682	 0.252
683	 0.269
684	 0.305
685	 0.264
686	 0.286
687	 0.574
688	 0.412
689	 0.413
690	 0.389
691	 0.353
692	 0.320
693	 0.307
694	 0.302
695	 0.304
696	 0.293
697	 0.288
698	 0.322
