logg	Teff	Z	xi	a	b	Filt	Met	Mod
[cm/s2]	K	[Sun]	km/s	 	 	 	 	
-----	------	----	----	-------	-------	--	-	-
 4.50	  4750	 0.0	 2.0	 1.0740	-0.2011	v 	L	A
 5.00	  4750	 0.0	 2.0	 1.0548	-0.1904	v 	L	A
 4.50	  5000	 0.0	 2.0	 1.0040	-0.1326	v 	L	A
 5.00	  5000	 0.0	 2.0	 0.9885	-0.1237	v 	L	A
 4.50	  5250	 0.0	 2.0	 0.9229	-0.0553	v 	L	A
 5.00	  5250	 0.0	 2.0	 0.9121	-0.0500	v 	L	A
 4.50	  5500	 0.0	 2.0	 0.8354	 0.0240	v 	L	A
 5.00	  5500	 0.0	 2.0	 0.8276	 0.0280	v 	L	A
 4.50	  4750	 0.0	 2.0	 0.7263	 0.0625	V 	L	A
 5.00	  4750	 0.0	 2.0	 0.7254	 0.0598	V 	L	A
 4.50	  5000	 0.0	 2.0	 0.6566	 0.1202	V 	L	A
 5.00	  5000	 0.0	 2.0	 0.6598	 0.1154	V 	L	A
 4.50	  5250	 0.0	 2.0	 0.5858	 0.1745	V 	L	A
 5.00	  5250	 0.0	 2.0	 0.5902	 0.1706	V 	L	A
 4.50	  5500	 0.0	 2.0	 0.5213	 0.2200	V 	L	A
 5.00	  5500	 0.0	 2.0	 0.5236	 0.2191	V 	L	A
