lambda	m(HR5460)
nm	mag
---	------
320	 1.768
321	 1.728
322	 1.858
323	 2.006
324	 1.811
325	 1.814
326	 1.368
327	 1.424
328	 1.434
329	 1.366
330	 1.199
331	 1.495
332	 1.437
333	 1.399
334	 1.467
335	 1.319
336	 1.538
337	 1.718
338	 1.476
339	 1.473
340	 1.271
341	 1.489
342	 1.411
343	 1.373
344	 1.862
345	 1.532
346	 1.553
347	 1.477
348	 1.553
349	 1.596
350	 1.321
351	 1.395
352	 1.479
353	 1.459
354	 1.271
355	 1.322
356	 1.511
357	 1.817
358	 1.957
359	 1.736
360	 1.199
361	 1.589
362	 1.461
363	 1.246
364	 1.146
365	 1.326
366	 0.824
367	 0.910
368	 1.133
369	 1.047
370	 0.904
371	 1.122
372	 1.408
373	 1.456
374	 1.677
375	 1.599
376	 1.438
377	 1.165
378	 0.941
379	 1.340
380	 1.346
381	 1.322
382	 1.909
383	 2.093
384	 1.859
385	 1.661
386	 1.846
387	 1.685
388	 1.565
389	 1.262
390	 1.200
391	 0.957
392	 1.135
393	 1.769
394	 1.516
395	 0.951
396	 1.134
397	 1.717
398	 0.793
399	 0.578
400	 0.518
401	 0.513
402	 0.402
403	 0.568
404	 0.491
405	 0.619
406	 0.666
407	 0.640
408	 0.487
409	 0.333
410	 0.552
411	 0.424
412	 0.409
413	 0.531
414	 0.514
415	 0.563
416	 0.490
417	 0.540
418	 0.577
419	 0.533
420	 0.650
421	 0.413
422	 0.450
423	 0.645
424	 0.431
425	 0.521
426	 0.471
427	 0.580
428	 0.457
429	 0.539
430	 0.749
431	 0.820
432	 0.252
433	 0.343
434	 0.368
435	 0.275
436	 0.213
437	 0.241
438	 0.449
439	 0.450
440	 0.281
441	 0.324
442	 0.217
443	 0.209
444	 0.202
445	 0.097
446	 0.327
447	 0.128
448	 0.090
449	 0.079
450	 0.060
451	-0.027
452	 0.017
453	 0.226
454	 0.058
455	 0.091
456	 0.013
457	 0.022
458	 0.062
459	 0.051
460	 0.089
461	 0.008
462	-0.011
463	-0.017
464	 0.064
465	 0.113
466	 0.023
467	 0.148
468	 0.081
469	 0.069
470	 0.138
471	 0.115
472	-0.017
473	 0.078
474	 0.025
475	 0.011
476	 0.048
477	 0.053
478	-0.016
479	 0.022
480	-0.026
481	 0.006
482	-0.022
483	 0.023
484	 0.040
485	 0.004
486	 0.225
487	 0.163
488	 0.044
489	 0.164
490	-0.003
491	 0.040
492	 0.209
493	 0.010
494	 0.057
495	-0.015
496	 0.075
497	 0.016
498	 0.134
499	 0.043
500	 0.097
501	 0.172
502	 0.131
503	 0.054
504	 0.169
505	 0.094
506	 0.022
507	 0.116
508	 0.176
509	 0.054
510	 0.145
511	 0.138
512	 0.127
513	 0.162
514	 0.207
515	 0.205
516	 0.183
517	 0.642
518	 0.419
519	 0.224
520	 0.127
521	 0.216
522	 0.087
523	 0.209
524	 0.014
525	 0.071
526	 0.093
527	 0.318
528	 0.088
529	-0.045
530	 0.080
531	-0.050
532	 0.049
533	 0.146
534	 0.059
535	 0.018
536	-0.030
537	 0.127
538	 0.017
539	 0.074
540	 0.156
541	 0.138
542	 0.053
543	 0.113
544	-0.003
545	 0.066
546	 0.034
547	 0.026
548	 0.081
549	 0.034
550	 0.036
551	 0.079
552	 0.014
553	 0.079
554	 0.036
555	 0.000
556	 0.050
557	 0.106
558	 0.051
559	 0.172
560	 0.095
561	 0.001
562	 0.094
563	 0.029
564	 0.064
565	 0.034
566	 0.097
567	 0.030
568	 0.047
569	 0.058
570	 0.063
571	 0.137
572	-0.001
573	 0.023
574	 0.001
575	 0.043
576	 0.035
577	 0.004
578	 0.085
579	 0.035
580	 0.021
581	 0.021
582	-0.004
583	 0.007
584	-0.007
585	 0.022
586	 0.057
587	 0.008
588	 0.043
589	 0.409
590	 0.086
591	 0.037
592	 0.016
593	 0.045
594	 0.025
595	 0.050
596	 0.031
597	 0.022
598	 0.063
599	 0.041
600	 0.057
601	 0.087
602	 0.104
603	 0.044
604	 0.040
605	 0.040
606	 0.049
607	 0.034
608	 0.070
609	 0.081
610	 0.102
611	 0.062
612	 0.121
613	 0.080
614	 0.124
615	 0.101
616	 0.192
617	 0.145
618	 0.083
619	 0.131
620	 0.089
621	 0.090
622	 0.109
623	 0.137
624	 0.128
625	 0.147
626	 0.132
627	 0.092
628	 0.140
629	 0.107
630	 0.165
631	 0.120
632	 0.157
633	 0.110
634	 0.143
635	 0.102
636	 0.170
637	 0.099
638	 0.112
639	 0.118
640	 0.138
641	 0.164
642	 0.137
643	 0.117
644	 0.130
645	 0.132
646	 0.136
647	 0.117
648	 0.118
649	 0.165
650	 0.152
651	 0.099
652	 0.130
653	 0.119
654	 0.118
655	 0.151
656	 0.312
657	 0.167
658	 0.128
659	 0.168
660	 0.128
661	 0.142
662	 0.124
663	 0.152
664	 0.151
665	 0.120
666	 0.152
667	 0.136
668	 0.150
669	 0.116
670	 0.165
671	 0.149
672	 0.166
673	 0.154
674	 0.156
675	 0.154
676	 0.144
677	 0.162
678	 0.161
679	 0.165
680	 0.167
681	 0.164
682	 0.171
683	 0.173
684	 0.229
685	 0.175
686	 0.199
687	 0.490
688	 0.325
689	 0.320
690	 0.291
691	 0.261
692	 0.234
693	 0.217
694	 0.209
695	 0.218
696	 0.207
697	 0.192
698	 0.251
