logg	Teff	Z	xi	a	b	Filt	Met	Mod
[cm/s2]	K	[Sun]	km/s	 	 	 	 	
-----	------	----	----	-------	-------	--	-	-
 4.00	  7250	 0.0	 2.0	 0.4344	 0.3321	v 	L	A
 4.50	  7250	 0.0	 2.0	 0.4189	 0.3403	v 	L	A
 4.00	  7500	 0.0	 2.0	 0.4050	 0.3513	v 	L	A
 4.50	  7500	 0.0	 2.0	 0.3815	 0.3673	v 	L	A
 4.00	  7750	 0.0	 2.0	 0.4033	 0.3579	v 	L	A
 4.50	  7750	 0.0	 2.0	 0.3484	 0.3913	v 	L	A
 4.00	  8000	 0.0	 2.0	 0.4048	 0.3648	v 	L	A
 4.50	  8000	 0.0	 2.0	 0.3299	 0.4035	v 	L	A
 4.00	  7250	 0.0	 2.0	 0.2912	 0.3419	V 	L	A
 4.50	  7250	 0.0	 2.0	 0.2915	 0.3400	V 	L	A
 4.00	  7500	 0.0	 2.0	 0.2771	 0.3466	V 	L	A
 4.50	  7500	 0.0	 2.0	 0.2742	 0.3503	V 	L	A
 4.00	  7750	 0.0	 2.0	 0.2969	 0.3322	V 	L	A
 4.50	  7750	 0.0	 2.0	 0.2597	 0.3590	V 	L	A
 4.00	  8000	 0.0	 2.0	 0.3131	 0.3267	V 	L	A
 4.50	  8000	 0.0	 2.0	 0.2557	 0.3595	V 	L	A
