logg	Teff	Z	xi	a	b	Filt	Met	Mod
[cm/s2]	K	[Sun]	km/s	 	 	 	 	
-----	------	----	----	-------	-------	--	-	-
 1.50	  4000	 0.0	 2.0	 1.3026	-0.4377	v 	L	A
 2.00	  4000	 0.0	 2.0	 1.2949	-0.4268	v 	L	A
 1.50	  4250	 0.0	 2.0	 1.2707	-0.3907	v 	L	A
 2.00	  4250	 0.0	 2.0	 1.2666	-0.3818	v 	L	A
 1.50	  4500	 0.0	 2.0	 1.2133	-0.3324	v 	L	A
 2.00	  4500	 0.0	 2.0	 1.2066	-0.3206	v 	L	A
 1.50	  4750	 0.0	 2.0	 1.1512	-0.2755	v 	L	A
 2.00	  4750	 0.0	 2.0	 1.1409	-0.2588	v 	L	A
 1.50	  4000	 0.0	 2.0	 0.9335	-0.0949	V 	L	A
 2.00	  4000	 0.0	 2.0	 0.9298	-0.0937	V 	L	A
 1.50	  4250	 0.0	 2.0	 0.8522	-0.0242	V 	L	A
 2.00	  4250	 0.0	 2.0	 0.8543	-0.0269	V 	L	A
 1.50	  4500	 0.0	 2.0	 0.7653	 0.0463	V 	L	A
 2.00	  4500	 0.0	 2.0	 0.7706	 0.0423	V 	L	A
 1.50	  4750	 0.0	 2.0	 0.6893	 0.1012	V 	L	A
 2.00	  4750	 0.0	 2.0	 0.6926	 0.1012	V 	L	A
