lambda	m(HR5340)
nm	mag
---	------
320	 2.823
321	 2.884
322	 3.007
323	 3.128
324	 3.026
325	 2.948
326	 2.627
327	 2.666
328	 2.771
329	 2.525
330	 2.386
331	 2.587
332	 2.636
333	 2.522
334	 2.720
335	 2.602
336	 2.673
337	 2.889
338	 2.687
339	 2.649
340	 2.353
341	 2.475
342	 2.422
343	 2.301
344	 2.616
345	 2.456
346	 2.460
347	 2.320
348	 2.536
349	 2.419
350	 2.273
351	 2.172
352	 2.317
353	 2.416
354	 2.039
355	 2.189
356	 2.261
357	 2.677
358	 2.693
359	 2.616
360	 2.075
361	 2.398
362	 2.214
363	 2.035
364	 1.965
365	 2.147
366	 1.746
367	 1.818
368	 1.883
369	 1.914
370	 1.723
371	 2.059
372	 2.065
373	 2.101
374	 2.431
375	 2.475
376	 2.138
377	 1.949
378	 1.708
379	 2.018
380	 2.160
381	 1.944
382	 2.505
383	 2.707
384	 2.603
385	 2.264
386	 2.455
387	 2.377
388	 2.325
389	 1.924
390	 1.801
391	 1.774
392	 1.924
393	 2.640
394	 2.754
395	 1.913
396	 1.858
397	 2.916
398	 1.699
399	 1.347
400	 1.249
401	 1.213
402	 1.072
403	 1.118
404	 1.063
405	 1.171
406	 1.134
407	 1.162
408	 1.059
409	 0.854
410	 1.063
411	 1.005
412	 0.995
413	 1.005
414	 1.039
415	 1.180
416	 1.018
417	 1.039
418	 1.133
419	 1.018
420	 1.102
421	 0.986
422	 0.892
423	 1.174
424	 0.943
425	 0.873
426	 0.976
427	 0.876
428	 0.946
429	 1.011
430	 1.083
431	 1.318
432	 0.582
433	 0.734
434	 0.655
435	 0.585
436	 0.606
437	 0.569
438	 0.711
439	 0.856
440	 0.628
441	 0.722
442	 0.598
443	 0.577
444	 0.577
445	 0.487
446	 0.658
447	 0.536
448	 0.391
449	 0.381
450	 0.418
451	 0.243
452	 0.339
453	 0.498
454	 0.422
455	 0.379
456	 0.316
457	 0.339
458	 0.331
459	 0.309
460	 0.368
461	 0.259
462	 0.225
463	 0.214
464	 0.305
465	 0.306
466	 0.258
467	 0.359
468	 0.276
469	 0.275
470	 0.264
471	 0.318
472	 0.226
473	 0.280
474	 0.252
475	 0.188
476	 0.231
477	 0.270
478	 0.196
479	 0.263
480	 0.201
481	 0.197
482	 0.148
483	 0.208
484	 0.198
485	 0.183
486	 0.293
487	 0.278
488	 0.220
489	 0.280
490	 0.104
491	 0.189
492	 0.229
493	 0.160
494	 0.222
495	 0.099
496	 0.147
497	 0.173
498	 0.165
499	 0.217
500	 0.195
501	 0.236
502	 0.293
503	 0.204
504	 0.295
505	 0.199
506	 0.134
507	 0.229
508	 0.269
509	 0.231
510	 0.226
511	 0.280
512	 0.197
513	 0.352
514	 0.262
515	 0.329
516	 0.231
517	 0.509
518	 0.360
519	 0.336
520	 0.217
521	 0.338
522	 0.145
523	 0.229
524	 0.114
525	 0.180
526	 0.115
527	 0.344
528	 0.110
529	 0.038
530	 0.150
531	 0.003
532	 0.036
533	 0.189
534	 0.078
535	 0.073
536	-0.016
537	 0.102
538	 0.009
539	 0.072
540	 0.138
541	 0.170
542	 0.034
543	 0.075
544	 0.090
545	 0.062
546	 0.068
547	 0.051
548	 0.117
549	 0.066
550	 0.035
551	 0.072
552	 0.061
553	 0.046
554	 0.034
555	 0.000
556	-0.006
557	 0.045
558	 0.010
559	 0.083
560	 0.057
561	-0.013
562	 0.041
563	 0.016
564	 0.019
565	 0.021
566	 0.066
567	 0.031
568	-0.020
569	 0.033
570	 0.042
571	 0.107
572	-0.007
573	-0.016
574	-0.041
575	-0.024
576	 0.008
577	-0.062
578	-0.001
579	 0.023
580	-0.048
581	-0.031
582	-0.058
583	-0.083
584	-0.048
585	-0.058
586	-0.007
587	-0.046
588	-0.053
589	 0.076
590	 0.071
591	-0.044
592	-0.019
593	-0.056
594	-0.034
595	-0.042
596	-0.037
597	-0.064
598	-0.045
599	-0.023
600	-0.047
601	-0.027
602	 0.001
603	-0.049
604	-0.064
605	-0.084
606	-0.053
607	-0.040
608	-0.046
609	-0.012
610	-0.032
611	-0.033
612	-0.025
613	-0.022
614	 0.040
615	-0.022
616	 0.013
617	 0.050
618	-0.012
619	 0.011
620	-0.019
621	-0.053
622	 0.041
623	 0.025
624	-0.011
625	 0.010
626	 0.088
627	-0.005
628	 0.026
629	-0.027
630	 0.034
631	-0.014
632	 0.027
633	-0.022
634	-0.004
635	-0.032
636	 0.001
637	-0.030
638	-0.055
639	-0.050
640	 0.002
641	-0.036
642	-0.022
643	-0.037
644	-0.024
645	-0.014
646	-0.037
647	-0.020
648	-0.030
649	-0.023
650	 0.086
651	-0.046
652	-0.031
653	-0.035
654	-0.051
655	-0.019
656	 0.053
657	-0.001
658	-0.019
659	-0.041
660	-0.011
661	-0.005
662	-0.058
663	-0.015
664	-0.030
665	-0.023
666	-0.047
667	-0.009
668	-0.022
669	-0.063
670	-0.032
671	-0.026
672	-0.009
673	-0.041
674	-0.030
675	-0.017
676	-0.037
677	-0.010
678	-0.047
679	-0.030
680	-0.023
681	-0.022
682	-0.015
683	-0.028
684	-0.014
685	-0.027
686	 0.006
687	 0.217
688	 0.170
689	 0.103
690	 0.095
691	 0.035
692	 0.007
693	 0.009
694	 0.002
695	 0.004
696	-0.021
697	-0.036
698	 0.020
