1948 3892
 -0.282659 -0.093544 0.093909
 -0.269613 -0.103751 0.092967
 -0.268679 -0.089883 0.102655
 -0.280630 -0.078800 0.102374
 -0.292971 -0.080317 0.091786
 -0.292992 -0.092421 0.080626
 -0.281294 -0.104045 0.080915
 -0.257256 -0.115785 0.093390
 -0.252511 -0.102554 0.104786
 -0.255708 -0.087460 0.112569
 -0.264921 -0.073085 0.113547
 -0.280089 -0.066087 0.112583
 -0.293861 -0.063725 0.103287
 -0.301367 -0.066043 0.088144
 -0.305211 -0.076423 0.075952
 -0.301431 -0.089526 0.066529
 -0.292928 -0.104184 0.064028
 -0.278297 -0.112038 0.066535
 -0.266466 -0.118055 0.078230
 -0.242755 -0.124544 0.090906
 -0.237130 -0.112378 0.101791
 -0.237222 -0.100978 0.113827
 -0.241537 -0.087443 0.121990
 -0.249015 -0.072905 0.124145
 -0.260071 -0.061638 0.124495
 -0.274958 -0.055393 0.125143
 -0.288544 -0.050470 0.117935
 -0.298717 -0.047984 0.104897
 -0.307257 -0.050270 0.091908
 -0.314167 -0.057621 0.080254
 -0.318110 -0.068908 0.069694
 -0.313849 -0.078933 0.058336
 -0.306443 -0.090113 0.050642
 -0.300892 -0.106569 0.049277
 -0.288110 -0.116137 0.049665
 -0.273797 -0.121904 0.054003
 -0.261216 -0.126210 0.063117
 -0.251209 -0.128746 0.076717
 -0.226731 -0.128948 0.085229
 -0.220685 -0.116395 0.096255
 -0.219667 -0.106433 0.110334
 -0.222569 -0.095135 0.123524
 -0.227670 -0.078754 0.127686
 -0.236815 -0.065857 0.132653
 -0.247332 -0.052679 0.130842
 -0.262075 -0.045067 0.133809
 -0.276473 -0.038189 0.129231
 -0.290177 -0.033960 0.120574
 -0.302695 -0.033017 0.109655
 -0.313543 -0.035588 0.097588
 -0.323228 -0.042256 0.085973
 -0.326637 -0.049944 0.071746
 -0.328152 -0.060908 0.059586
 -0.326546 -0.073792 0.049176
 -0.316165 -0.082606 0.039032
 -0.307843 -0.095321 0.033746
 -0.299230 -0.109835 0.032339
 -0.284003 -0.116472 0.032710
 -0.271450 -0.125774 0.037766
 -0.260126 -0.135547 0.047359
 -0.246232 -0.135390 0.057588
 -0.236090 -0.136541 0.072230
 -0.210449 -0.130399 0.077778
 -0.204988 -0.121067 0.090538
 -0.202512 -0.109741 0.102416
 -0.203088 -0.097100 0.112926
 -0.206566 -0.083707 0.121500
 -0.212781 -0.070754 0.128802
