lambda	m(HR2061)
nm	mag
---	------
320	
321	
322	
323	
324	
325	
326	
327	
328	
329	
330	
331	
332	
333	
334	
335	
336	
337	
338	
339	
340	
341	
342	
343	
344	
345	
346	
347	
348	
349	
350	
351	
352	
353	
354	
355	
356	
357	
358	
359	
360	 3.405
361	 3.407
362	 3.389
363	 3.314
364	 3.215
365	 3.295
366	 3.073
367	 3.140
368	 3.209
369	 3.240
370	 3.101
371	 3.132
372	 3.319
373	 3.409
374	 3.379
375	 3.306
376	 3.245
377	 3.087
378	 2.943
379	 3.215
380	 3.109
381	 3.136
382	 3.355
383	 3.321
384	 3.184
385	 3.087
386	 3.300
387	 3.066
388	 3.115
389	 3.109
390	 3.071
391	 3.026
392	 3.227
393	 3.654
394	 3.477
395	 3.028
396	 3.252
397	 3.514
398	 2.864
399	 2.649
400	 2.512
401	 2.465
402	 2.443
403	 2.476
404	 2.321
405	 2.363
406	 2.413
407	 2.281
408	 2.411
409	 2.032
410	 2.338
411	 2.194
412	 2.230
413	 2.249
414	 2.182
415	 2.144
416	 1.962
417	 2.133
418	 2.068
419	 1.980
420	 2.191
421	 1.963
422	 2.020
423	 2.374
424	 1.953
425	 1.958
426	 1.927
427	 1.873
428	 1.850
429	 2.127
430	 2.021
431	 1.859
432	 1.466
433	 1.528
434	 1.616
435	 1.503
436	 1.338
437	 1.404
438	 1.575
439	 1.595
440	 1.418
441	 1.529
442	 1.466
443	 1.453
444	 1.464
445	 1.325
446	 1.603
447	 1.415
448	 1.225
449	 1.170
450	 1.108
451	 1.085
452	 1.080
453	 1.343
454	 1.158
455	 1.228
456	 1.056
457	 0.944
458	 1.029
459	 1.084
460	 1.075
461	 0.870
462	 0.746
463	 0.914
464	 1.052
465	 1.049
466	 0.832
467	 0.999
468	 0.945
469	 0.894
470	 0.757
471	 0.816
472	 0.763
473	 0.784
474	 0.729
475	 0.627
476	 0.815
477	 0.981
478	 0.819
479	 0.822
480	 0.697
481	 0.894
482	 0.743
483	 0.783
484	 0.696
485	 0.725
486	 0.863
487	 0.746
488	 0.676
489	 0.661
490	 0.448
491	 0.466
492	 0.517
493	 0.350
494	 0.449
495	 0.231
496	 0.845
497	 0.765
498	 0.728
499	 0.635
500	 0.708
501	 0.812
502	 0.766
503	 0.495
504	 0.721
505	 0.431
506	 0.288
507	 0.435
508	 0.470
509	 0.305
510	 0.304
511	 0.440
512	 0.249
513	 0.362
514	 0.296
515	 0.460
516	 0.141
517	 1.062
518	 0.775
519	 0.652
520	 0.537
521	 0.691
522	 0.453
523	 0.408
524	 0.262
525	 0.590
526	 0.312
527	 0.473
528	 0.212
529	 0.078
530	 0.261
531	 0.082
532	 0.131
533	 0.263
534	 0.143
535	 0.072
536	-0.012
537	 0.158
538	 0.002
539	 0.142
540	 0.156
541	 0.201
542	-0.029
543	 0.116
544	-0.054
545	 0.303
546	 0.331
547	 0.243
548	 0.234
549	 0.129
550	 0.210
551	 0.242
552	 0.074
553	 0.095
554	 0.015
555	 0.000
556	 0.070
557	 0.076
558	 0.032
559	 0.154
560	 0.169
561	 0.091
562	 0.177
563	 0.164
564	 0.187
565	 0.061
566	 0.122
567	 0.106
568	 0.015
569	-0.014
570	 0.039
571	 0.043
572	-0.068
573	-0.026
574	-0.067
575	-0.103
576	-0.057
577	-0.092
578	-0.042
579	-0.093
580	-0.208
581	-0.160
582	-0.103
583	-0.157
584	-0.160
585	 0.024
586	 0.060
587	 0.072
588	 0.121
589	 0.330
590	 0.264
591	 0.160
592	 0.153
593	 0.083
594	 0.071
595	 0.041
596	 0.045
597	-0.027
598	 0.006
599	-0.104
600	-0.102
601	-0.080
602	-0.119
603	-0.193
604	-0.227
605	-0.278
606	-0.221
607	-0.333
608	-0.248
609	-0.283
610	-0.309
611	-0.333
612	-0.277
613	-0.292
614	-0.256
615	-0.245
616	 0.052
617	 0.073
618	 0.016
619	 0.156
620	 0.093
621	 0.073
622	 0.189
623	 0.192
624	 0.156
625	 0.094
626	 0.093
627	 0.009
628	 0.034
629	-0.112
630	-0.068
631	-0.197
632	-0.208
633	-0.274
634	-0.305
635	-0.300
636	-0.146
637	-0.360
638	-0.360
639	-0.328
640	-0.403
641	-0.418
642	-0.359
643	-0.366
644	-0.468
645	-0.393
646	-0.470
647	-0.468
648	-0.348
649	-0.304
650	-0.233
651	-0.358
652	-0.391
653	-0.443
654	-0.489
655	-0.349
656	-0.255
657	-0.376
658	-0.404
659	-0.427
660	-0.428
661	-0.389
662	-0.431
663	-0.375
664	-0.393
665	-0.327
666	-0.288
667	-0.348
668	-0.259
669	-0.264
670	-0.314
671	-0.308
672	-0.195
673	-0.248
674	-0.248
675	-0.223
676	-0.329
677	-0.341
678	-0.366
679	-0.280
680	-0.365
681	-0.391
682	-0.386
683	-0.405
684	-0.445
685	-0.426
686	-0.398
687	-0.128
688	-0.421
689	-0.421
690	-0.478
691	-0.554
692	-0.545
693	-0.523
694	-0.560
695	-0.578
696	-0.655
697	-0.711
698	-0.660
699	-0.667
700	-0.675
701	-0.723
702	-0.721
703	-0.750
704	-0.790
705	-0.776
706	-0.408
707	-0.450
708	-0.544
709	-0.277
710	-0.265
711	-0.327
712	-0.390
713	-0.132
714	-0.193
715	-0.237
716	-0.268
717	-0.204
718	-0.230
719	-0.212
720	-0.187
