logg	Teff	Z	xi	a	b	Filt	Met	Mod
[cm/s2]	K	[Sun]	km/s	 	 	 	 	
-----	------	----	----	-------	-------	--	-	-
 3.50	  6500	 0.0	 2.0	 0.5823	 0.2223	v 	L	A
 4.00	  6500	 0.0	 2.0	 0.5635	 0.2382	v 	L	A
 3.50	  6750	 0.0	 2.0	 0.5350	 0.2581	v 	L	A
 4.00	  6750	 0.0	 2.0	 0.5162	 0.2726	v 	L	A
 3.50	  7000	 0.0	 2.0	 0.4936	 0.2917	v 	L	A
 4.00	  7000	 0.0	 2.0	 0.4742	 0.3036	v 	L	A
 3.50	  7250	 0.0	 2.0	 0.4800	 0.3001	v 	L	A
 4.00	  7250	 0.0	 2.0	 0.4344	 0.3321	v 	L	A
 3.50	  6500	 0.0	 2.0	 0.3501	 0.3141	V 	L	A
 4.00	  6500	 0.0	 2.0	 0.3505	 0.3137	V 	L	A
 3.50	  6750	 0.0	 2.0	 0.3286	 0.3239	V 	L	A
 4.00	  6750	 0.0	 2.0	 0.3294	 0.3230	V 	L	A
 3.50	  7000	 0.0	 2.0	 0.3104	 0.3344	V 	L	A
 4.00	  7000	 0.0	 2.0	 0.3104	 0.3324	V 	L	A
 3.50	  7250	 0.0	 2.0	 0.3127	 0.3248	V 	L	A
 4.00	  7250	 0.0	 2.0	 0.2912	 0.3419	V 	L	A
