logg	Teff	Z	xi	a	b	Filt	Met	Mod
[cm/s2]	K	[Sun]	km/s	 	 	 	 	
-----	------	----	----	-------	-------	--	-	-
 1.50	  8250	 0.0	 2.0	 0.5035	 0.2467	v 	L	A
 2.00	  8250	 0.0	 2.0	 0.4885	 0.2879	v 	L	A
 1.50	  8500	 0.0	 2.0	 0.4829	 0.2408	v 	L	A
 2.00	  8500	 0.0	 2.0	 0.4582	 0.2945	v 	L	A
 1.50	  8750	 0.0	 2.0	 0.4424	 0.2849	v 	L	A
 2.00	  8750	 0.0	 2.0	 0.4365	 0.2954	v 	L	A
 1.50	  9000	 0.0	 2.0	 0.4673	 0.2177	v 	L	A
 2.00	  9000	 0.0	 2.0	 0.4215	 0.2925	v 	L	A
 1.50	  8250	 0.0	 2.0	 0.3499	 0.2839	V 	L	A
 2.00	  8250	 0.0	 2.0	 0.3357	 0.2999	V 	L	A
 1.50	  8500	 0.0	 2.0	 0.3365	 0.2851	V 	L	A
 2.00	  8500	 0.0	 2.0	 0.3200	 0.3023	V 	L	A
 1.50	  8750	 0.0	 2.0	 0.3091	 0.3026	V 	L	A
 2.00	  8750	 0.0	 2.0	 0.3060	 0.3054	V 	L	A
 1.50	  9000	 0.0	 2.0	 0.3214	 0.2817	V 	L	A
 2.00	  9000	 0.0	 2.0	 0.2947	 0.3075	V 	L	A
