asteroid_number,prov_desig,comet_desig,mpc_packed_name,absolute_mag,slope_param,mean_jd,n_w1,n_w2,n_w3,n_w4,fit_code,diameter,diameter_err,v_albedo,v_albedo_err,ir_albedo,ir_albedo_err,beaming_param,beaming_param_err,stacked_flag,reference,notes,reference2,type,cntr
1404,,,01404,9.3000,0.1500,2455209.2817005,12,12,12,12,DVBI,83.9900,1.2790,0.0480,0.0090,0.0850,0.0060,0.7620,0.0230,,Gr12b,,GRAVETAL2012B,jupiter_trojans,1157
1437,,,01437,8.3000,0.1500,2455243.5570425,4,5,10,10,DVBI,117.7860,1.1790,0.0610,0.0110,0.0870,0.0060,0.7970,0.0170,,Gr12b,,GRAVETAL2012B,jupiter_trojans,1158
1647,,,01647,10.6000,0.1500,2455205.1766260,11,0,11,11,DVBI,42.7160,0.5170,0.0560,0.0090,0.1420,0.0110,0.7790,0.0160,,Gr12b,,GRAVETAL2012B,jupiter_trojans,1160
1873,,,01873,10.1000,0.1500,2455306.8986610,13,0,14,14,DVBI,50.7990,1.1810,0.0620,0.0070,0.1310,0.0150,0.7510,0.0270,,Gr12b,,GRAVETAL2012B,jupiter_trojans,1168
3451,,,03451,8.5000,0.1500,2455324.0991095,14,14,13,13,DVBI,126.2880,1.6420,0.0440,0.0080,0.0770,0.0060,0.7390,0.0140,,Gr12b,,GRAVETAL2012B,jupiter_trojans,1189
5130,,,05130,9.6000,0.1500,2455361.7542230,8,0,19,11,DVBI,60.7110,0.9820,0.0690,0.0130,0.1080,0.0140,0.7740,0.0250,,Gr12b,,GRAVETAL2012B,jupiter_trojans,1241
5283,,,05283,9.7000,0.1500,2455439.8629085,14,12,16,0,DV-I,48.3560,0.4230,0.1000,0.0130,0.1580,0.0120,0.7700,0.0500,,Gr12b,,GRAVETAL2012B,jupiter_trojans,1250
5436,,,05436,10.4000,0.1500,2455205.1770080,0,0,10,10,DVB-,37.6960,0.3290,0.0860,0.0130,0.1720,0.0450,0.8670,0.0140,,Gr12b,,GRAVETAL2012B,jupiter_trojans,1253
9694,,,09694,10.6000,0.1500,2455498.8678420,11,0,10,11,DVBI,31.7360,0.2430,0.1010,0.0100,0.2200,0.0230,0.8550,0.0100,,Gr12b,,GRAVETAL2012B,jupiter_trojans,1283
11429,,,11429,10.4000,0.1500,2455503.8285450,18,0,13,0,DV-I,37.6300,1.3070,0.0860,0.0170,0.1550,0.0160,0.7700,0.0500,,Gr12b,,GRAVETAL2012B,jupiter_trojans,1305
