epoch,object,sep,sep_err,pa,pa_err
53272.18,1,883.10,1.08,140.317,0.047
53323.05,1,894.61,1.10,140.853,0.047
53324.15,1,895.60,1.26,140.814,0.067
53354.16,1,902.00,1.07,141.115,0.051
53525.40,1,931.41,1.12,142.648,0.045
53557.52,1,933.51,1.26,142.888,0.054
53588.18,1,936.54,1.12,143.169,0.044
53721.04,1,940.67,1.18,144.222,0.050
53734.18,1,940.79,1.17,144.352,0.049
53734.91,1,939.87,1.15,144.356,0.050
53935.29,1,920.15,1.11,146.044,0.053
53953.18,1,917.21,1.07,146.230,0.049
54000.26,1,908.02,1.06,146.657,0.047
54011.21,1,905.02,1.10,146.745,0.047
54028.00,1,902.22,1.38,146.984,0.053
54051.00,1,894.89,1.10,147.111,0.054
54269.27,1,814.32,1.09,149.295,0.050
54352.12,1,771.83,1.04,150.250,0.053
54372.19,1,760.14,1.10,150.515,0.055
54410.88,1,736.66,1.09,151.017,0.063
54622.28,1,576.19,1.04,154.647,0.078
54627.41,1,571.03,1.12,154.665,0.106
54638.39,1,561.45,1.10,154.978,0.086
54703.17,1,498.30,1.03,156.664,0.082
54800.89,1,391.26,1.63,160.569,0.148
54999.17,1,146.26,2.73,186.175,0.562
55409.43,1,328.38,1.20,332.295,0.157
55506.88,1,309.42,1.03,339.059,0.134
55760.19,1,173.52,2.43,12.950,0.433
56126.47,1,255.18,1.10,107.165,0.186
56184.30,1,293.94,1.12,112.857,0.164
56450.32,1,478.61,1.04,126.845,0.088
