logg	Teff	Z	xi	a	b	Filt	Met	Mod
[cm/s2]	K	[Sun]	km/s	 	 	 	 	
-----	------	----	----	-------	-------	--	-	-
 4.00	  8250	 0.0	 2.0	 0.4256	 0.3434	v 	L	A
 4.50	  8250	 0.0	 2.0	 0.3336	 0.4043	v 	L	A
 4.00	  8500	 0.0	 2.0	 0.4142	 0.3409	v 	L	A
 4.50	  8500	 0.0	 2.0	 0.3566	 0.3801	v 	L	A
 4.00	  8750	 0.0	 2.0	 0.3830	 0.3544	v 	L	A
 4.50	  8750	 0.0	 2.0	 0.3662	 0.3588	v 	L	A
 4.00	  9000	 0.0	 2.0	 0.3559	 0.3654	v 	L	A
 4.50	  9000	 0.0	 2.0	 0.3462	 0.3635	v 	L	A
 4.00	  8250	 0.0	 2.0	 0.3258	 0.3133	V 	L	A
 4.50	  8250	 0.0	 2.0	 0.2733	 0.3489	V 	L	A
 4.00	  8500	 0.0	 2.0	 0.3166	 0.3073	V 	L	A
 4.50	  8500	 0.0	 2.0	 0.2919	 0.3301	V 	L	A
 4.00	  8750	 0.0	 2.0	 0.2947	 0.3130	V 	L	A
 4.50	  8750	 0.0	 2.0	 0.2975	 0.3118	V 	L	A
 4.00	  9000	 0.0	 2.0	 0.2752	 0.3179	V 	L	A
 4.50	  9000	 0.0	 2.0	 0.2817	 0.3125	V 	L	A
