epoch,object,raoff,raoff_err,decoff,decoff_err,radec_corr,sep,sep_err,pa,pa_err,rv,rv_err
49445,1,,,,,,713.8,35.5,275.5,1.1,,
51279,1,,,,,,739,11,275.62,0.86,,
53182,1,,,,,,732.5,3.4,275.45,0.30,,
57128,1,,,,,,721.0,3.0,277.6,4.0,,
58345.1,1,,,,,,711.6,2.4,278.27,0.24,,
58551.3,1,,,,,,720.3,3.4,277.9,0.18,,
58557.2,1,,,,,,715.0,2.8,277.82,0.17,,
58593.1,1,,,,,,701.0,20.0,278.3,1.2,,
60022.256,1,-698.969,0.055,114.058,0.153,-0.843,,,,,,
59828.023,1,-699.789,0.060,112.615,0.057,0.652,,,,,,
59805.051,1,-699.876,0.044,112.491,0.062,0.796,,,,,,
59453.975,1,-702.069,0.027,110.363,0.057,0.208,,,,,,
56806,1,,,,,,,,,,2.0,0.4
