logg	Teff	Z	xi	a	b	Filt	Met	Mod
[cm/s2]	K	[Sun]	km/s	 	 	 	 	
-----	------	----	----	-------	-------	--	-	-
 3.50	  4250	 0.0	 2.0	 1.2201	-0.3419	v 	L	A
 4.00	  4250	 0.0	 2.0	 1.1851	-0.3173	v 	L	A
 4.50	  4250	 0.0	 2.0	 1.0809	-0.2284	v 	L	A
 3.50	  4500	 0.0	 2.0	 1.1728	-0.2878	v 	L	A
 4.00	  4500	 0.0	 2.0	 1.1537	-0.2748	v 	L	A
 4.50	  4500	 0.0	 2.0	 1.1284	-0.2586	v 	L	A
 3.50	  4250	 0.0	 2.0	 0.8557	-0.0400	V 	L	A
 4.00	  4250	 0.0	 2.0	 0.8463	-0.0374	V 	L	A
 4.50	  4250	 0.0	 2.0	 0.7821	 0.0137	V 	L	A
 3.50	  4500	 0.0	 2.0	 0.7913	 0.0156	V 	L	A
 4.00	  4500	 0.0	 2.0	 0.7912	 0.0112	V 	L	A
 4.50	  4500	 0.0	 2.0	 0.7872	 0.0100	V 	L	A
