epoch,object,quant1,quant1_err,quant2,quant2_err,quant12_corr,quant_type
57300.0,1,270.0,2.6,69.95,0.55,nan,seppa
57608.0,1,269.53,12.15,62.76,2.16,nan,seppa
58277.0,1,246.51,21.34,42.8,2.24,nan,seppa
58415.0,1,239.12,17.55,42.53,2.17,nan,seppa
57647.0,1,265.0,2.0,62.25,0.11,nan,seppa
57948.0,1,260.3,2.0,54.2,0.4,nan,seppa
58289.0,1,249.11,1.6,45.5,0.37,nan,seppa
57653.0,1,267.6,2.9,62.72,0.62,nan,seppa
57682.0,1,265.0,2.7,61.33,0.64,nan,seppa
58066.0,1,256.9,1.1,51.01,0.35,nan,seppa
58385.0,1,251.7,5.4,42.6,1.6,nan,seppa
58681.392,1,130.749,0.061,198.118,0.054,-0.571,radec
58708.16,1,127.098,0.088,199.198,0.112,-0.929,radec
59453.093,1,20.058,0.069,205.831,0.038,-0.677,radec
60127.218,1,-79.297,0.056,176.072,0.036,-0.369,radec
60428.381,1,-120.915,0.084,152.728,0.046,-0.065,radec
60461.388,1,-125.29,0.054,149.833,0.052,-0.322,radec
60462.327,1,-125.47,0.085,149.855,0.046,-0.73,radec
60485.334,1,-128.315,0.137,147.555,0.151,-0.665,radec
60491.191,1,-129.333,0.233,147.204,0.051,-0.647,radec
60509.364,1,-131.498,0.041,145.629,0.067,-0.57,radec
60515.246,1,-132.26,0.035,144.931,0.046,-0.404,radec
60516.263,1,-132.403,0.032,144.825,0.085,-0.135,radec
60834.317,1,-170.498,0.034,112.565,0.031,-0.483,radec
