logg	Teff	Z	xi	a	b	Filt	Met	Mod
[cm/s2]	K	[Sun]	km/s	 	 	 	 	
-----	------	----	----	-------	-------	--	-	-
 4.50	  3000	 0.0	 2.0	 0.3952	 0.4411	v 	L	P
 5.00	  3000	 0.0	 2.0	 0.4784	 0.3888	v 	L	P
 4.50	  3200	 0.0	 2.0	 0.3379	 0.4549	v 	L	P
 5.00	  3200	 0.0	 2.0	 0.3393	 0.4555	v 	L	P
 4.50	  3400	 0.0	 2.0	 0.3401	 0.4343	v 	L	P
 5.00	  3400	 0.0	 2.0	 0.3051	 0.4527	v 	L	P
 4.50	  3600	 0.0	 2.0	 0.4067	 0.3664	v 	L	P
 5.00	  3600	 0.0	 2.0	 0.3164	 0.4260	v 	L	P
 4.50	  3000	 0.0	 2.0	 0.5904	 0.3139	V 	L	P
 5.00	  3000	 0.0	 2.0	 0.6640	 0.2569	V 	L	P
 4.50	  3200	 0.0	 2.0	 0.5134	 0.3481	V 	L	P
 5.00	  3200	 0.0	 2.0	 0.4914	 0.3710	V 	L	P
 4.50	  3400	 0.0	 2.0	 0.5488	 0.2936	V 	L	P
 5.00	  3400	 0.0	 2.0	 0.4492	 0.3797	V 	L	P
 4.50	  3600	 0.0	 2.0	 0.6625	 0.1739	V 	L	P
 5.00	  3600	 0.0	 2.0	 0.4667	 0.3441	V 	L	P
