logg	Teff	Z	xi	a	b	Filt	Met	Mod
[cm/s2]	K	[Sun]	km/s	 	 	 	 	
-----	------	----	----	-------	-------	--	-	-
 4.50	  3500	 0.0	 2.0	 0.3939	 0.3927	v 	L	A
 5.00	  3500	 0.0	 2.0	 0.3842	 0.3895	v 	L	A
 4.50	  3750	 0.0	 2.0	 0.5189	 0.2697	v 	L	A
 5.00	  3750	 0.0	 2.0	 0.4210	 0.3453	v 	L	A
 4.50	  4000	 0.0	 2.0	 0.8018	 0.0178	v 	L	A
 5.00	  4000	 0.0	 2.0	 0.5767	 0.2148	v 	L	A
 4.50	  4250	 0.0	 2.0	 1.0809	-0.2284	v 	L	A
 5.00	  4250	 0.0	 2.0	 0.8597	-0.0287	v 	L	A
 4.50	  3500	 0.0	 2.0	 0.4385	 0.3460	V 	L	A
 5.00	  3500	 0.0	 2.0	 0.3725	 0.3933	V 	L	A
 4.50	  3750	 0.0	 2.0	 0.4481	 0.3145	V 	L	A
 5.00	  3750	 0.0	 2.0	 0.3327	 0.4028	V 	L	A
 4.50	  4000	 0.0	 2.0	 0.6137	 0.1603	V 	L	A
 5.00	  4000	 0.0	 2.0	 0.4089	 0.3273	V 	L	A
 4.50	  4250	 0.0	 2.0	 0.7821	 0.0137	V 	L	A
 5.00	  4250	 0.0	 2.0	 0.6044	 0.1623	V 	L	A
