MW  |The Galaxy                   |The MW                          | |G  |S(B)bc   |17|45|40.0|-|29|00|28|       | |Position refers to Sgr A*
MW  |Canis Major                  |                                | |G  |????     |07|12|35.0|-|27|40|00|300    | |MW disk substructure?
MW  |Sagittarius dSph             |                                | |G  |dSph     |18|55|19.5|-|30|32|43|301    | |Tidally disrupting
MW  |Segue (I)                    |                                | |G  |dSph     |10|07|04.0|+|16|04|55|302    | |
MW  |Ursa Major II                |                                | |G  |dSph     |08|51|30.0|+|63|07|48|303    | |
MW  |Bootes II                    |                                | |G  |dSph     |13|58|00.0|+|12|51|00|304    | |
MW  |Segue II                     |                                | |G  |dSph     |02|19|16.0|+|20|10|31|305    | |
MW  |Willman 1                    |SDSS J1049+5103                 | |G  |dSph     |10|49|21.0|+|51|03|00|306    | |Cluster?
MW  |Coma Berenices               |                                | |G  |dSph     |12|26|59.0|+|23|54|15|302    | |
MW  |Bootes III                   |                                | |G  |dSph?    |13|57|12.0|+|26|48|00|307    | |Very diffuse. Tidal remnant?
MW  |LMC                          |Nubecula Major                  | |G  |Irr      |05|23|34.5|-|69|45|22|       | |
MW  |SMC                          |Nubecula Minor,NGC 292          | |G  |dIrr     |00|52|44.8|-|72|49|43|       | |
MW  |Bootes (I)                   |                                | |G  |dSph     |14|00|06.0|+|14|30|00|308    | |
MW  |Draco                        |UGC 10822,DDO 208               | |G  |dSph     |17|20|12.4|+|57|54|55|309    | |
MW  |Ursa Minor                   |UGC 9749,DDO 199                | |G  |dSph     |15|09|08.5|+|67|13|21|309    | |
MW  |Sculptor                     |                                | |G  |dSph     |01|00|09.4|-|33|42|33|310    | |The prototypical dSph
MW  |Sextans (I)                  |                                | |G  |dSph     |10|13|03.0|-|01|36|53|311    | |
MW  |Ursa Major (I)               |                                | |G  |dSph     |10|34|52.8|+|51|55|12|312    | |
MW  |Carina                       |                                | |G  |dSph     |06|41|36.7|-|50|57|58|313    | |
MW  |Hercules                     |                                | |G  |dSph     |16|31|02.0|+|12|47|30|302    | |Tidally disrupting? Remnant? Cluster?
MW  |Fornax                       |                                | |G  |dSph     |02|39|59.3|-|34|26|57|314    | |
MW  |Leo IV                       |                                | |G  |dSph     |11|32|57.0|-|00|32|00|302    | |Binary w/Leo V?
MW  |Canes Venatici II            |SDSS J1257+3419                 | |G  |dSph     |12|57|10.0|+|34|19|15|315,302| |
MW  |Leo V                        |                                | |G  |dSph     |11|31|09.6|+|02|13|12|316    | |Cluster? Binary w/Leo IV?
MW  |Pisces II                    |                                | |G  |dSph     |22|58|31.0|+|05|57|09|317    | |Awaiting spectr. confirmation
MW  |Canes Venatici (I)           |                                | |G  |dSph     |13|28|03.5|+|33|33|21|318    | |
MW  |Leo II                       |Leo B,UGC 6253,DDO 93           | |G  |dSph     |11|13|28.8|+|22|09|06|319    | |
MW  |Leo I                        |UGC 5470,DDO 74,Regulus Dwarf   | |G,L|dSph     |10|08|28.1|+|12|18|23|319    | |
M31 |Andromeda                    |M31,NGC 224,UGC 454             | |A  |Sb       |00|42|44.3|+|41|16|09|       | |
M31 |M32                          |NGC 221,UGC 452                 | |A  |cE       |00|42|41.8|+|40|51|55|320    | |
