logg	Teff	Z	xi	a	b	Filt	Met	Mod
[cm/s2]	K	[Sun]	km/s	 	 	 	 	
-----	------	----	----	-------	-------	--	-	-
 1.50	  5750	 0.0	 2.0	 0.8705	-0.0425	v 	L	A
 2.00	  5750	 0.0	 2.0	 0.8344	 0.0009	v 	L	A
 1.50	  6000	 0.0	 2.0	 0.8047	 0.0167	v 	L	A
 2.00	  6000	 0.0	 2.0	 0.7731	 0.0530	v 	L	A
 1.50	  6250	 0.0	 2.0	 0.8614	-0.0271	v 	L	A
 2.00	  6250	 0.0	 2.0	 0.7148	 0.1033	v 	L	A
 1.50	  6500	 0.0	 2.0	 0.8392	 0.0100	v 	L	A
 2.00	  6500	 0.0	 2.0	 0.7580	 0.0714	v 	L	A
 1.50	  5750	 0.0	 2.0	 0.4607	 0.2411	V 	L	A
 2.00	  5750	 0.0	 2.0	 0.4523	 0.2525	V 	L	A
 1.50	  6000	 0.0	 2.0	 0.4162	 0.2692	V 	L	A
 2.00	  6000	 0.0	 2.0	 0.4147	 0.2731	V 	L	A
 1.50	  6250	 0.0	 2.0	 0.4945	 0.1909	V 	L	A
 2.00	  6250	 0.0	 2.0	 0.3815	 0.2910	V 	L	A
 1.50	  6500	 0.0	 2.0	 0.5134	 0.1828	V 	L	A
 2.00	  6500	 0.0	 2.0	 0.4469	 0.2257	V 	L	A
