logg	Teff	Z	xi	a	b	Filt	Met	Mod
[cm/s2]	K	[Sun]	km/s	 	 	 	 	
-----	------	----	----	-------	-------	--	-	-
 3.50	  8000	 0.0	 2.0	 0.4932	 0.3043	v 	L	A
 4.00	  8000	 0.0	 2.0	 0.4048	 0.3648	v 	L	A
 3.50	  8250	 0.0	 2.0	 0.4630	 0.3198	v 	L	A
 4.00	  8250	 0.0	 2.0	 0.4256	 0.3434	v 	L	A
 3.50	  8500	 0.0	 2.0	 0.4232	 0.3408	v 	L	A
 4.00	  8500	 0.0	 2.0	 0.4142	 0.3409	v 	L	A
 3.50	  8750	 0.0	 2.0	 0.3924	 0.3535	v 	L	A
 4.00	  8750	 0.0	 2.0	 0.3830	 0.3544	v 	L	A
 3.50	  8000	 0.0	 2.0	 0.3581	 0.2969	V 	L	A
 4.00	  8000	 0.0	 2.0	 0.3131	 0.3267	V 	L	A
 3.50	  8250	 0.0	 2.0	 0.3376	 0.3023	V 	L	A
 4.00	  8250	 0.0	 2.0	 0.3258	 0.3133	V 	L	A
 3.50	  8500	 0.0	 2.0	 0.3108	 0.3118	V 	L	A
 4.00	  8500	 0.0	 2.0	 0.3166	 0.3073	V 	L	A
 3.50	  8750	 0.0	 2.0	 0.2905	 0.3161	V 	L	A
 4.00	  8750	 0.0	 2.0	 0.2947	 0.3130	V 	L	A
