logg	Teff	Z	xi	a	b	Filt	Met	Mod
[cm/s2]	K	[Sun]	km/s	 	 	 	 	
-----	------	----	----	-------	-------	--	-	-
 3.50	 12500	 0.0	 2.0	 0.2205	 0.3709	v 	L	A
 4.00	 12500	 0.0	 2.0	 0.2037	 0.3834	v 	L	A
 3.50	 12750	 0.0	 2.0	 0.2168	 0.3679	v 	L	A
 4.00	 12750	 0.0	 2.0	 0.1995	 0.3802	v 	L	A
 3.50	 13000	 0.0	 2.0	 0.2135	 0.3649	v 	L	A
 4.00	 13000	 0.0	 2.0	 0.1961	 0.3765	v 	L	A
 3.50	 12500	 0.0	 2.0	 0.1705	 0.3112	V 	L	A
 4.00	 12500	 0.0	 2.0	 0.1681	 0.3111	V 	L	A
 3.50	 12750	 0.0	 2.0	 0.1671	 0.3086	V 	L	A
 4.00	 12750	 0.0	 2.0	 0.1647	 0.3078	V 	L	A
 3.50	 13000	 0.0	 2.0	 0.1643	 0.3059	V 	L	A
 4.00	 13000	 0.0	 2.0	 0.1616	 0.3046	V 	L	A
