  b0123    16.20    0.15     3.39  0.051   1.02   0   7   7  1.73616  1.40441  34.48776  55203.1812
K05UF6H    17.60    0.15     1.50  0.071  -1.20   0   8   0  1.80359  1.48115  33.02544  55203.1849
  22601    13.30    0.15     5.57  0.272   1.27   0   8   8  2.17980  1.91344  26.80390  55203.1856
  B8148    16.40    0.15     1.38  0.256  -1.20   0   7   0  1.68032  1.32978  35.79850  55203.1858
K10A82U    18.30    0.15     1.02  0.081  -1.20   0   8   0  1.65105  1.29648  36.53845  55203.1896
  F4661    15.40    0.15     1.92  0.332   0.87   0   9   4  1.78895  1.43172  33.26306  55203.8100
K10A83U    15.80    0.15     2.81  0.107  -1.20   0   4   0  2.38756  2.10354  24.24736  55203.8124
  V6720    14.60    0.15     6.62  0.058  -1.20   0   4   0  3.53464  3.32258  16.10523  55203.8131
  L9778    15.90    0.15     2.06  0.182   1.30   0  14  13  1.65315  1.29986  36.48663  55203.8555
K10A85Y    17.10    0.15     1.80  0.079  -1.20   0   5   0  2.16219  1.89386  27.03981  55204.0433
  56116    13.60    0.15     4.11  0.380   1.03   0  12  11  2.06823  1.74937  28.30412  55204.0805
K10A86T    16.20    0.15     2.86  0.072  -1.20   0   5   0  2.71884  2.49952  21.19183  55204.1109
  R7162    16.20    0.15     1.92  0.159   1.13   0  11   5  1.81432  1.49390  32.80672  55204.2518
K10A87F    15.50    0.15     2.82  0.140  -1.20   0   4   0  2.56975  2.30124  22.42935  55204.2784
K10A84R    18.30    0.15     1.09  0.071  -1.20   0   5   0  1.65433  1.29874  36.45297  55204.3769
K10A89U    17.50    0.15     1.47  0.081  -1.20   0   5   0  1.99157  1.69652  29.57073  55204.3783
K10A91N    15.80    0.15     3.59  0.066   1.48   0   8   5  2.34791  2.09273  24.74250  55204.5128
K10A92V    18.50    0.15     1.44  0.034  -1.20   0   7   0  1.98917  1.68728  29.60164  55204.6442
  31318    15.40    0.15     2.04  0.293   1.02   0   7   6  1.69514  1.33946  35.42592  55205.0392
  L5122    16.10    0.15     1.57  0.258  -1.20   0   3   0  1.97072  1.66691  29.90882  55205.0416
K07F03M    16.90    0.15     2.30  0.058   0.96   0   5   5  1.72391  1.37364  34.74525  55205.1723
  L9330    15.80    0.15     3.23  0.081  -1.20   0   6   0  2.54431  2.30363  22.71843  55206.2274
K10A98T    17.90    0.15     1.42  0.061  -1.20   0   4   0  1.82645  1.49218  32.54172  55208.2793
  D7444    14.40    0.15     3.68  0.226   1.37   0   7   6  1.69513  1.33352  35.42147  55208.2848
K09R01R    18.40    0.15     0.56  0.247  -1.20   0  18   0  1.32164  0.84255  48.03923  55208.2893
  C7521    14.90    0.15     2.81  0.246   1.55   0   8   5  1.86320  1.53167  31.81581  55208.3489
  a6455    16.70    0.15     1.60  0.143  -1.20   0  11   0  1.79417  1.44452  33.18442  55208.3490
  05251    13.80    0.15     5.41  0.182   1.45   0   4   3  2.93111  2.71044  19.57573  55208.4519
K10AA5P    16.50    0.15     2.53  0.069  -1.20   0   3   0  2.55076  2.30095  22.64269  55208.5779
  46773    15.10    0.15     3.02  0.177  -1.20   0   3   0  2.64653  2.40189  21.78302  55208.6121
  24806    14.90    0.15     6.53  0.045   1.06   0  15  15  2.01928  1.70770  29.10027  55208.6150
  L7716    17.20    0.15     1.95  0.061  -1.20   0  12   0  1.93691  1.61257  30.46520  55208.7453
  L8609    15.90    0.15     2.13  0.169   1.40   0  17  12  1.65655  1.27698  36.35753  55208.8755
  10984    14.60    0.15     3.29  0.235  -1.20   0   9   0  2.39427  2.12751  24.21679  55208.8772
  C0450    15.90    0.15     2.00  0.192  -1.20   0   7   0  2.22469  1.94613  26.20057  55209.1107
  05230    13.20    0.15     5.43  0.314   1.07   0  13  14  1.57264  1.17487  38.64974  55209.1384
K10AB1T    15.40    0.15     3.88  0.081  -1.20   0   9   0  2.92452  2.69766  19.62111  55209.1401
  a6949    17.10    0.15     0.99  0.258  -1.20   0  14   0  1.63382  1.25487  36.96210  55209.2135
  90943    15.70    0.15     3.74  0.066  -1.20   0  11   0  2.53849  2.29276  22.76561  55209.2430
K10AB4A    18.30    0.15     1.20  0.059  -1.20   0  10   0  1.83689  1.49497  32.31691  55209.2760
K10AB1H    16.50    0.15     2.76  0.058  -1.20   0   5   0  2.66735  2.42935  21.61164  55209.4015
K09SO3M    18.90    0.15     1.32  0.028  -1.20   0   6   0  1.94153  1.61640  30.38331  55209.4077
  Y7538    17.10    0.15     1.01  0.251  -1.20   0  20   0  1.57991  1.19471  38.45927  55209.5017
K10AB5D    16.20    0.15     2.99  0.065  -1.20   0   9   0  2.72277  2.49254  21.14912  55209.5046
  05682    13.70    0.15     7.33  0.109   2.12   0   8   4  2.96583  2.75189  19.34357  55209.5073
  58023    15.00    0.15     6.03  0.049   1.10   0  13  15  1.89450  1.56019  31.21829  55209.6699
K10AB8S    16.20    0.15     3.17  0.058  -1.20   0   9   0  2.74793  2.50700  20.93652  55209.8069
  a8254    15.50    0.15     2.09  0.256  -1.20   0   6   0  2.11964  1.81968  27.59927  55209.8073
  15778    14.70    0.15     3.56  0.184  -1.20   0   5   0  2.84423  2.62382  20.20715  55209.8414
K10AC0W    17.90    0.15     1.86  0.035   1.72   0  11   5  1.66603  1.28966  36.12102  55210.0644
  F1517    15.10    0.15     2.59  0.240   1.34   0  22  21  1.59722  1.20172  37.94206  55210.3384
  03267    12.80    0.15     7.58  0.233   1.09   0  15  14  2.50528  2.26467  23.09611  55210.4283
  d4938    16.70    0.15     3.19  0.036  -1.20   0   3   0  2.81759  2.59641  20.40894  55210.5033
  01316    13.10    0.15     6.86  0.216   0.80   0   7   6  3.02266  2.81889  18.97346  55210.5691
  i1875    16.20    0.15     1.62  0.224  -1.20   0  10   0  2.02596  1.73083  29.01650  55210.8315
K10AC7G    19.30    0.15     1.00  0.034  -1.20   0  10   0  1.65823  1.29928  36.35427  55210.8357
  04558    12.60    0.15     7.88  0.259   0.94   0   9   9  2.96186  2.75403  19.37836  55210.9663
  e8795    17.50    0.15     2.17  0.038   1.40   0  13  10  1.76325  1.42667  33.87920  55210.9667
  M3178    15.70    0.15     1.89  0.259  -1.20   0  11   0  1.94706  1.61976  30.28249  55210.9923
K10AD0J    16.10    0.15     2.22  0.130  -1.20   0  10   0  2.18956  1.89269  26.63730  55210.9929
K10AD0L    15.50    0.15     2.62  0.163  -1.20   0   9   0  2.55262  2.28976  22.61398  55210.9938
K10AD0M    18.30    0.15     1.06  0.076  -1.20   0   9   0  1.67947  1.29859  35.76972  55210.9942
  05510    13.50    0.15     5.43  0.239   1.17   0  11   8  2.68508  2.45899  21.47015  55211.3581
K10AD3E    16.90    0.15     3.53  0.025  -1.20   0   6   0  2.93849  2.70413  19.51554  55211.3907
K10AD3M    16.90    0.15     2.23  0.061   2.31   0  11   5  1.66656  1.28082  36.08517  55211.3932
K10AD3T    17.80    0.15     1.90  0.037  -1.20   0   6   0  2.34760  2.07153  24.72509  55211.3962
  c2388    17.40    0.15     1.95  0.051  -1.20   0   8   0  2.15572  1.87970  27.12545  55211.4936
  52310    14.90    0.15     2.71  0.263   1.03   0  14  14  2.00664  1.68335  29.28575  55211.5234
K10AD4D    15.50    0.15     2.80  0.142  -1.20   0   3   0  2.54221  2.30221  22.74008  55211.5589
K10AD5S    17.80    0.15     1.99  0.034  -1.20   0   3   0  2.35571  2.10466  24.66189  55211.6217
K10AD7Q    18.80    0.15     1.24  0.035  -1.20   0   8   0  1.85082  1.50164  32.02615  55211.7878
K10AD7T    17.10    0.15     1.65  0.094  -1.20   0   3   0  2.16719  1.86165  26.92300  55211.7883
  41223    13.60    0.15    11.61  0.048   1.04   0  11  11  3.61672  3.44166  15.76848  55212.0200
  W8563    17.00    0.15     2.43  0.047  -1.20   0   8   0  2.28575  1.99221  25.42240  55212.3189
  41464    16.10    0.15     1.66  0.234  -1.20   0   9   0  1.99374  1.69856  29.54199  55212.5486
  Y7542    17.10    0.15     0.88  0.333  -1.20   0   5   0  1.65999  1.27282  36.25508  55212.5865
K10B14C    19.30    0.15     0.90  0.042  -1.20   0   4   0  1.71155  1.33085  34.98321  55212.8489
  56950    14.50    0.15     3.59  0.217   1.30   0   9   7  2.36396  2.11408  24.57257  55212.9454
K10G67L    17.30    0.15     0.93  0.248  -1.20   0   5   0  1.70233  1.35813  35.28137  55212.9518
K10B16W    18.80    0.15     1.29  0.032  -1.20   0  14   0  1.84915  1.49518  32.04935  55212.9822
K10B16Z    16.80    0.15     2.06  0.079  -1.20   0   4   0  2.36968  2.08609  24.46471  55212.9832
K10B17B    17.30    0.15     2.06  0.050   2.00   0  13   6  1.68322  1.29863  35.66965  55212.9841
  O1673    15.60    0.15     5.51  0.034   1.96   0  10   6  2.58987  2.36436  22.31138  55213.0763
  55401    13.80    0.15     4.86  0.226   1.19   0   9   5  2.87529  2.63470  19.96165  55213.1160
  05246    14.30    0.15     3.18  0.333   1.04   0  12  11  2.13277  1.81947  27.38969  55213.2440
K10B19F    18.10    0.15     1.94  0.027  -1.20   0   7   0  2.19272  1.88941  26.58647  55213.2468
  M1963    18.00    0.15     1.75  0.036  -1.20   0   9   0  2.10774  1.78980  27.73933  55213.3761
  B9866    15.60    0.15     1.96  0.264  -1.20   0   8   0  2.04388  1.71923  28.68909  55213.5093
  17493    14.50    0.15     2.82  0.353   0.81   0  16  16  1.56414  1.15017  38.87126  55213.5145
  02204    12.10    0.15    24.83  0.041   0.93   0  11  11  2.28919  2.03570  25.43793  55213.7398
