logg	Teff	Z	xi	a	b	Filt	Met	Mod
[cm/s2]	K	[Sun]	km/s	 	 	 	 	
-----	------	----	----	-------	-------	--	-	-
 4.00	  9500	 0.0	 2.0	 0.3172	 0.3798	v 	L	A
 4.50	  9500	 0.0	 2.0	 0.3074	 0.3765	v 	L	A
 4.00	  9750	 0.0	 2.0	 0.3014	 0.3852	v 	L	A
 4.50	  9750	 0.0	 2.0	 0.2919	 0.3819	v 	L	A
 4.00	 10000	 0.0	 2.0	 0.2873	 0.3894	v 	L	A
 4.50	 10000	 0.0	 2.0	 0.2786	 0.3862	v 	L	A
 4.00	 10250	 0.0	 2.0	 0.2731	 0.3940	v 	L	A
 4.50	 10250	 0.0	 2.0	 0.2655	 0.3907	v 	L	A
 4.00	  9500	 0.0	 2.0	 0.2468	 0.3246	V 	L	A
 4.50	  9500	 0.0	 2.0	 0.2490	 0.3213	V 	L	A
 4.00	  9750	 0.0	 2.0	 0.2364	 0.3261	V 	L	A
 4.50	  9750	 0.0	 2.0	 0.2369	 0.3240	V 	L	A
 4.00	 10000	 0.0	 2.0	 0.2276	 0.3267	V 	L	A
 4.50	 10000	 0.0	 2.0	 0.2274	 0.3250	V 	L	A
 4.00	 10250	 0.0	 2.0	 0.2186	 0.3279	V 	L	A
 4.50	 10250	 0.0	 2.0	 0.2177	 0.3266	V 	L	A
