time,flux,err,mask,centroid_y,psf_width_y
6.027082770936101588e+04,9.957047869529884743e-01,7.432726430808277466e-04,0.000000000000000000e+00,4.877642656092109519e+01,1.857763046886428793e+00
6.027082817000830255e+04,9.956908720824347858e-01,7.433276511489974670e-04,0.000000000000000000e+00,4.877885501868728824e+01,1.862051278596368764e+00
6.027082863065557467e+04,9.960633319556351228e-01,7.433291612133364470e-04,0.000000000000000000e+00,4.877584395952003860e+01,1.860140126024845575e+00
6.027082909130283952e+04,9.954897059537888282e-01,7.433267158471821949e-04,0.000000000000000000e+00,4.877712875532867542e+01,1.864755089072377636e+00
6.027082955195012619e+04,9.954683395658286971e-01,7.433271947211804844e-04,0.000000000000000000e+00,4.877386225322804592e+01,1.862462122889275262e+00
6.027083001259739831e+04,9.951797904461681110e-01,7.433298424247271287e-04,0.000000000000000000e+00,4.877108701798460544e+01,1.861240777957853476e+00
6.027083047324466315e+04,9.964888335958922427e-01,7.433336681518894944e-04,0.000000000000000000e+00,4.877133350175934368e+01,1.860679539539705107e+00
6.027083093389194983e+04,9.951460066044138797e-01,7.433274044865064703e-04,0.000000000000000000e+00,4.876727936396098784e+01,1.860161490409385276e+00
6.027083139453921467e+04,9.960256554479181013e-01,7.443329800182813720e-04,0.000000000000000000e+00,4.877696281915527265e+01,1.860429028632637705e+00
6.027083185518648679e+04,9.956024712471773785e-01,7.433305274442956502e-04,0.000000000000000000e+00,4.877931562816122835e+01,1.862069066744604040e+00
6.027083231583376619e+04,9.960809383082659396e-01,7.433358219710540712e-04,0.000000000000000000e+00,4.877219853904193769e+01,1.859950992281464988e+00
6.027083277648103831e+04,9.950290140463486921e-01,7.433266829059911873e-04,0.000000000000000000e+00,4.877297324485073204e+01,1.862852164069227046e+00
6.027083323712831043e+04,9.958923083235110552e-01,7.433313816771840686e-04,0.000000000000000000e+00,4.877935133489130237e+01,1.862456182217011147e+00
6.027083369777558255e+04,9.951745089321695215e-01,7.433286523895947344e-04,0.000000000000000000e+00,4.878023751171961919e+01,1.863265111581470901e+00
6.027083415842286195e+04,9.967265202190395135e-01,7.433345474594251325e-04,0.000000000000000000e+00,4.877718805084107601e+01,1.863120585758283987e+00
6.027083461907012679e+04,9.959829287354142746e-01,7.433328560462820148e-04,0.000000000000000000e+00,4.877576715449561107e+01,1.863070516776912600e+00
6.027083507971739891e+04,9.968448701913393828e-01,7.433386809798417068e-04,0.000000000000000000e+00,4.877139695586492962e+01,1.861253491858697151e+00
6.027083554036467831e+04,9.955955731488670413e-01,7.433320064710300691e-04,0.000000000000000000e+00,4.877898470249428442e+01,1.862367616679968085e+00
6.027083600101195043e+04,9.955377211546055927e-01,7.433287931301225818e-04,0.000000000000000000e+00,4.877039100485475842e+01,1.862818028451532992e+00
6.027083646165921527e+04,9.968047997314960496e-01,7.433378860532773545e-04,0.000000000000000000e+00,4.877271164288967498e+01,1.859097205767653360e+00
6.027083692230650195e+04,9.966714863915171474e-01,7.433398930898576888e-04,0.000000000000000000e+00,4.876419354460677624e+01,1.862134229935508811e+00
6.027083738295376679e+04,9.970274319610660241e-01,7.433413555382194270e-04,0.000000000000000000e+00,4.877229278703525495e+01,1.863937086400515142e+00
6.027083784360103891e+04,9.960928984354679994e-01,7.433318925457003956e-04,0.000000000000000000e+00,4.877788485479540270e+01,1.861340144444400213e+00
6.027083830424831831e+04,9.957531019999009692e-01,7.433324886622193900e-04,0.000000000000000000e+00,4.877616571134299051e+01,1.862063045583685517e+00
6.027083876489559043e+04,9.975192005448623167e-01,7.433406153968967391e-04,0.000000000000000000e+00,4.876900259223079104e+01,1.861439935445022398e+00
6.027083922554285527e+04,9.955469108819613444e-01,7.433329545816373457e-04,0.000000000000000000e+00,4.877113349115738572e+01,1.862860190338644140e+00
6.027083968619013467e+04,9.968095741609409588e-01,7.433382332343100836e-04,0.000000000000000000e+00,4.876929441183693825e+01,1.863489172636146218e+00
6.027084014683740679e+04,9.975038591147166178e-01,7.433384638935176380e-04,0.000000000000000000e+00,4.877573783990750655e+01,1.865580778085769165e+00
6.027084060748467164e+04,9.972013129474155413e-01,7.433372303086983835e-04,0.000000000000000000e+00,4.876946653236641538e+01,1.861785699779645364e+00
6.027084106813194376e+04,9.976839915592871089e-01,7.433414810386546664e-04,0.000000000000000000e+00,4.877086879427305632e+01,1.862684761739053618e+00
6.027084152877922315e+04,9.990735136771300429e-01,7.433471013675847869e-04,0.000000000000000000e+00,4.877245845507029287e+01,1.862671260461448597e+00
6.027084198942648800e+04,9.976852101819173591e-01,7.433432158812151814e-04,0.000000000000000000e+00,4.875865352937944408e+01,1.863013589568351502e+00
6.027084245007376012e+04,9.975025945744817601e-01,7.433457852511874981e-04,0.000000000000000000e+00,4.876718012472728958e+01,1.861557743653166508e+00
6.027084291072103952e+04,9.975945014492690888e-01,7.433393045411655934e-04,0.000000000000000000e+00,4.876704689401744020e+01,1.865003799341750090e+00
6.027084337136830436e+04,9.978592656925556748e-01,7.433409583612498369e-04,0.000000000000000000e+00,4.877026429447052180e+01,1.862376985654978556e+00
6.027084383201556921e+04,9.969848739819396899e-01,7.433388813200074961e-04,0.000000000000000000e+00,4.876304977741962432e+01,1.861967018523108086e+00
6.027084429266284860e+04,9.977268595257872130e-01,7.433385532330879933e-04,0.000000000000000000e+00,4.876931569066584160e+01,1.865101164477178664e+00
