time,flux,error,mask,visit1,visit2,visit3,visit4,visit5,visit6,visit7,visit8,visit9
60270.87377409,0.999163953,8.805967e-4,0,0,0,0,0,0,0,0,0,0
60270.87423474,1.000028875,8.808613e-4,0,0,0,0,0,0,0,0,0,0
60270.87469538,1.000568532,8.806856e-4,0,0,0,0,0,0,0,0,0,0
60270.87515603,1.001452405,8.806589e-4,0,0,0,0,0,0,0,0,0,0
60270.87561668,1.000004844,8.799725e-4,0,0,0,0,0,0,0,0,0,0
60270.87607732,0.999939678,8.810277e-4,0,0,0,0,0,0,0,0,0,0
60270.87653797,1.000209964,8.806701e-4,0,0,0,0,0,0,0,0,0,0
60270.87699862,1.002400845,8.803438e-4,0,0,0,0,0,0,0,0,0,0
60270.87745927,1.000444125,8.801602e-4,0,0,0,0,0,0,0,0,0,0
60270.87791991,0.999807311,8.805500e-4,0,0,0,0,0,0,0,0,0,0
60270.87838056,1.000089626,8.802715e-4,0,0,0,0,0,0,0,0,0,0
60270.87884121,0.999708702,8.808029e-4,0,0,0,0,0,0,0,0,0,0
60270.87930186,1.001273344,8.805997e-4,0,0,0,0,0,0,0,0,0,0
60270.87976250,1.000257824,8.804313e-4,0,0,0,0,0,0,0,0,0,0
60270.88022315,0.999633075,8.809167e-4,0,0,0,0,0,0,0,0,0,0
60270.88068380,1.000204600,8.809600e-4,0,0,0,0,0,0,0,0,0,0
60270.88114444,1.001860972,8.802408e-4,0,0,0,0,0,0,0,0,0,0
60270.88160509,1.000402010,8.800796e-4,0,0,0,0,0,0,0,0,0,0
60270.88206574,0.999933338,8.806784e-4,0,0,0,0,0,0,0,0,0,0
60270.88252639,0.999053618,8.804391e-4,0,0,0,0,0,0,0,0,0,0
60270.88298703,0.999757137,8.840653e-4,0,0,0,0,0,0,0,0,0,0
60270.88344768,1.000292144,8.801086e-4,0,0,0,0,0,0,0,0,0,0
60270.88390833,1.000491925,8.801319e-4,0,0,0,0,0,0,0,0,0,0
60270.88436898,1.001772170,8.802232e-4,0,0,0,0,0,0,0,0,0,0
60270.88482962,1.001684208,8.807565e-4,0,0,0,0,0,0,0,0,0,0
60270.88529027,1.001949147,8.801797e-4,0,0,0,0,0,0,0,0,0,0
60270.88575092,1.000436840,8.802015e-4,0,0,0,0,0,0,0,0,0,0
60270.88621156,1.001058128,8.805111e-4,0,0,0,0,0,0,0,0,0,0
60270.88667221,0.999086926,8.803007e-4,0,0,0,0,0,0,0,0,0,0
60270.88713286,1.000386546,8.800798e-4,0,0,0,0,0,0,0,0,0,0
60270.88759351,1.000024530,8.805894e-4,0,0,0,0,0,0,0,0,0,0
60270.88805415,1.000088230,8.801588e-4,0,0,0,0,0,0,0,0,0,0
60270.88851480,1.001349861,8.807087e-4,0,0,0,0,0,0,0,0,0,0
60270.88897545,1.000127735,8.802169e-4,0,0,0,0,0,0,0,0,0,0
60270.88943609,1.000681115,8.800678e-4,0,0,0,0,0,0,0,0,0,0
60270.88989674,1.000099088,8.798777e-4,0,0,0,0,0,0,0,0,0,0
60270.89035739,1.000020025,8.802818e-4,0,0,0,0,0,0,0,0,0,0
60270.89081804,1.000711736,8.802780e-4,0,0,0,0,0,0,0,0,0,0
60270.89127868,1.000862152,8.805825e-4,0,0,0,0,0,0,0,0,0,0
60270.89173933,1.000646590,8.803917e-4,0,0,0,0,0,0,0,0,0,0
