logg	Teff	Z	xi	a	b	Filt	Met	Mod
[cm/s2]	K	[Sun]	km/s	 	 	 	 	
-----	------	----	----	-------	-------	--	-	-
 3.50	  9000	 0.0	 2.0	 0.3653	 0.3647	v 	L	A
 4.00	  9000	 0.0	 2.0	 0.3559	 0.3654	v 	L	A
 3.50	  9250	 0.0	 2.0	 0.3445	 0.3724	v 	L	A
 4.00	  9250	 0.0	 2.0	 0.3351	 0.3731	v 	L	A
 3.50	  9500	 0.0	 2.0	 0.3266	 0.3786	v 	L	A
 4.00	  9500	 0.0	 2.0	 0.3172	 0.3798	v 	L	A
 3.50	  9750	 0.0	 2.0	 0.3107	 0.3832	v 	L	A
 4.00	  9750	 0.0	 2.0	 0.3014	 0.3852	v 	L	A
 3.50	  9000	 0.0	 2.0	 0.2730	 0.3205	V 	L	A
 4.00	  9000	 0.0	 2.0	 0.2752	 0.3179	V 	L	A
 3.50	  9250	 0.0	 2.0	 0.2592	 0.3237	V 	L	A
 4.00	  9250	 0.0	 2.0	 0.2597	 0.3216	V 	L	A
 3.50	  9500	 0.0	 2.0	 0.2483	 0.3254	V 	L	A
 4.00	  9500	 0.0	 2.0	 0.2468	 0.3246	V 	L	A
 3.50	  9750	 0.0	 2.0	 0.2384	 0.3269	V 	L	A
 4.00	  9750	 0.0	 2.0	 0.2364	 0.3261	V 	L	A
