wavelength_um,counts
4.643598079681396484e+00,2.761297187500000000e+05
4.744056224822998047e+00,3.056613750000000000e+05
4.833001613616943359e+00,3.292974375000000000e+05
4.923554897308349609e+00,3.424925625000000000e+05
5.011654853820800781e+00,3.511248750000000000e+05
5.094055652618408203e+00,3.486125312500000000e+05
5.170771598815917969e+00,3.464731250000000000e+05
5.242632389068603516e+00,3.398588125000000000e+05
5.310467720031738281e+00,3.284188437500000000e+05
5.375106811523437500e+00,3.193721875000000000e+05
5.437379360198974609e+00,3.053831875000000000e+05
5.497989177703857422e+00,2.921594062500000000e+05
5.557135581970214844e+00,2.815099375000000000e+05
5.614892959594726562e+00,2.695722187500000000e+05
5.671335220336914062e+00,2.618536875000000000e+05
5.726535320281982422e+00,2.493033593750000000e+05
5.780567169189453125e+00,2.448923125000000000e+05
5.833505153656005859e+00,2.339799687500000000e+05
5.885422706604003906e+00,2.294991718750000000e+05
5.936393260955810547e+00,2.213804687500000000e+05
5.986491203308105469e+00,2.175418437500000000e+05
6.035789966583251953e+00,2.107167812500000000e+05
6.084362983703613281e+00,2.072147500000000000e+05
6.132275581359863281e+00,2.008242187500000000e+05
6.179552078247070312e+00,1.981838437500000000e+05
6.226208686828613281e+00,1.926693125000000000e+05
6.272261619567871094e+00,1.892180625000000000e+05
6.317727088928222656e+00,1.858119375000000000e+05
6.362620353698730469e+00,1.805605937500000000e+05
6.406957626342773438e+00,1.760930937500000000e+05
6.450755119323730469e+00,1.744905625000000000e+05
6.494029045104980469e+00,1.713079531250000000e+05
6.536794185638427734e+00,1.693390000000000000e+05
6.579067707061767578e+00,1.667370312500000000e+05
6.620864868164062500e+00,1.637358750000000000e+05
6.662201404571533203e+00,1.606208125000000000e+05
6.703094005584716797e+00,1.558992500000000000e+05
6.743558406829833984e+00,1.534037968750000000e+05
6.783610343933105469e+00,1.503498906250000000e+05
6.823265552520751953e+00,1.461812187500000000e+05
6.862540245056152344e+00,1.430556875000000000e+05
6.901450634002685547e+00,1.388123437500000000e+05
6.940012454986572266e+00,1.370625625000000000e+05
6.978241443634033203e+00,1.343412187500000000e+05
7.016153335571289062e+00,1.310271875000000000e+05
7.053764820098876953e+00,1.286101718750000000e+05
7.091091632843017578e+00,1.274588125000000000e+05
7.128147125244140625e+00,1.244230156250000000e+05
7.164937019348144531e+00,1.236271562500000000e+05
7.201464653015136719e+00,1.197207500000000000e+05
7.237732887268066406e+00,1.187832031250000000e+05
7.273745059967041016e+00,1.166222421875000000e+05
7.309504032135009766e+00,1.155496796875000000e+05
7.345013618469238281e+00,1.117889140625000000e+05
7.380276679992675781e+00,1.094642734375000000e+05
7.415296554565429688e+00,1.059167343750000000e+05
7.450076103210449219e+00,1.046922343750000000e+05
