time,flux,err,mask,centroid_y,psf_width_y
5.991403857950633392e+04,nan,2.892126692490267566e-04,1.000000000000000000e+00,2.523974234222576740e+01,1.183863786507526994e+00
5.991403869916893018e+04,1.001486052854482223e+00,2.918808741621104321e-04,0.000000000000000000e+00,2.523576432754120447e+01,1.174342227008613238e+00
5.991403881883153372e+04,1.002352215569999982e+00,2.916756204449218138e-04,0.000000000000000000e+00,2.524339845440584540e+01,1.194081988343972611e+00
5.991403893849412998e+04,nan,2.918435100145640193e-04,1.000000000000000000e+00,2.523364707271701946e+01,1.181277297591357689e+00
5.991403905815672624e+04,1.002367137315964163e+00,2.918130270975240192e-04,0.000000000000000000e+00,2.523396305785069771e+01,1.185654889899169451e+00
5.991403917781932978e+04,nan,2.917667578281456123e-04,1.000000000000000000e+00,2.524089063159426516e+01,1.182909650066082730e+00
5.991403929748192604e+04,nan,2.918829914638048089e-04,1.000000000000000000e+00,2.523585134774217309e+01,1.178029059607213602e+00
5.991403941714452958e+04,nan,2.919031058299006022e-04,1.000000000000000000e+00,2.524219887991173650e+01,1.186241163298149548e+00
5.991403953680712584e+04,1.003266714539538862e+00,2.918574281595250541e-04,0.000000000000000000e+00,2.523104383376933768e+01,1.181077434651224944e+00
5.991403965646972938e+04,nan,2.919346785345774162e-04,1.000000000000000000e+00,2.522757223717898611e+01,1.187967386646400447e+00
5.991403977613232564e+04,1.003369891398384839e+00,2.917821082654292611e-04,0.000000000000000000e+00,2.522974351601466836e+01,1.170177956245907369e+00
5.991403989579492190e+04,1.003045056467011253e+00,2.917556731310401528e-04,0.000000000000000000e+00,2.522484931042623302e+01,1.183467533906584324e+00
5.991404001545752544e+04,1.003692239372098172e+00,2.918424513637168580e-04,0.000000000000000000e+00,2.522606010751255567e+01,1.185886223421628083e+00
5.991404013512012170e+04,1.002821676654565008e+00,2.917668823753041146e-04,0.000000000000000000e+00,2.523270376805994175e+01,1.183900667609935509e+00
5.991404025478272524e+04,1.003206708714956319e+00,2.917788077657293292e-04,0.000000000000000000e+00,2.523192119718045845e+01,1.169991421594748005e+00
5.991404037444532150e+04,1.003063740533539194e+00,2.917436543302460343e-04,0.000000000000000000e+00,2.523410056537155199e+01,1.185999895018350792e+00
5.991404049410792504e+04,1.003686245166454105e+00,2.918939827505413645e-04,0.000000000000000000e+00,2.523137026960377582e+01,1.181733495785267651e+00
5.991404061377052130e+04,1.002756250537645277e+00,2.917302966474981515e-04,0.000000000000000000e+00,2.523370492634774465e+01,1.191056454195417391e+00
5.991404073343311757e+04,1.002782459245300073e+00,2.917748222566577429e-04,0.000000000000000000e+00,2.522448590125624079e+01,1.187556546758546272e+00
5.991404085309572110e+04,1.003562343660435507e+00,2.918057410887524468e-04,0.000000000000000000e+00,2.523382607490472651e+01,1.179236826949665362e+00
5.991404097275831737e+04,1.003153908690775475e+00,2.918714708516445913e-04,0.000000000000000000e+00,2.522902045226915746e+01,1.178528535433387869e+00
5.991404109242092090e+04,1.003650853845898139e+00,2.918610400271211876e-04,0.000000000000000000e+00,2.524100584852433116e+01,1.193553906350413030e+00
5.991404121208351717e+04,1.003056662269427912e+00,2.918343557984151289e-04,0.000000000000000000e+00,2.523941085602440637e+01,1.186708659492081264e+00
5.991404133174612070e+04,1.003574650912448796e+00,2.918217142618285530e-04,0.000000000000000000e+00,2.522381770979986371e+01,1.185413111094336891e+00
5.991404145140871697e+04,1.003085485471033822e+00,2.917603125126938491e-04,0.000000000000000000e+00,2.523307308735691734e+01,1.191894217984333038e+00
5.991404157107131323e+04,1.003280297154454770e+00,2.918116259419910037e-04,0.000000000000000000e+00,2.523342394296493651e+01,1.178040742369899307e+00
5.991404169073391677e+04,1.003769079986998936e+00,2.918238315635228214e-04,0.000000000000000000e+00,2.523445209313408455e+01,1.177734107657276486e+00
5.991404181039651303e+04,1.003326082682669762e+00,2.917929750050073687e-04,0.000000000000000000e+00,2.522707563085646498e+01,1.188040384750718381e+00
5.991404193005910929e+04,1.003124320271427949e+00,2.917716151673266606e-04,0.000000000000000000e+00,2.522910396371063868e+01,1.185305647516720295e+00
5.991404204972170555e+04,1.002770215761431993e+00,2.917726115445945707e-04,0.000000000000000000e+00,2.524084817007417669e+01,1.187287441632935092e+00
5.991404216938430909e+04,1.002702876600158000e+00,2.917510960229657076e-04,0.000000000000000000e+00,2.522512077749439641e+01,1.173795406876567027e+00
5.991404228904690535e+04,1.002874667983181256e+00,2.918002921505685396e-04,0.000000000000000000e+00,2.522048400861263318e+01,1.186533854910944541e+00
5.991404240870950161e+04,1.002930465110184022e+00,2.917945318444884850e-04,0.000000000000000000e+00,2.522550521483222141e+01,1.178076762542163758e+00
5.991404252837210515e+04,1.003128656505297700e+00,2.918046201643260344e-04,0.000000000000000000e+00,2.522206671873012240e+01,1.191309982046753868e+00
