epoch,object,raoff,raoff_err,decoff,decoff_err,radec_corr,rv,rv_err
57939.00,1,-911.3486,5.4996,-1452.8141,4.6487,,,
58559.00,1,-906.5660,7.8620,-1445.1900,5.8337,,,
58565.00,1,-906.6919,2.9896,-1451.0103,2.9959,,,
58621.00,1,-920.2205,5.6976,-1438.9087,5.2978,,,
58637.00,1,-917.8713,11.9728,-1446.3337,11.9909,,,
58895.00,1,-907.6288,2.9860,-1446.8842,2.9952,,,
59971.334,1,-906.598,0.053,-1436.899,0.055,-0.629,,
60355.278,1,-904.806,0.068,-1434.773,0.137,-0.576,,
60461.014,1,-904.428,0.094,-1434.237,0.103,-0.901,,
60491.050,1,-904.516,0.070,-1433.772,0.120,0.904,,
60002.5,1,,,,,,-1.87,0.04
