YYYY MM DD hh mm ss.sss   BX CSE BY CSE BZ CSE BT CSE X CSE      Y CSE      Z CSE      R CSE      
                           nT     nT     nT     nT    km         km         km         km         
1986 03 08 07 20 30.000    5.1    3.8   -2.2    6.7 -2467018.8  6094058.0  -878460.8  6632904.0
1986 03 08 07 21 30.000    6.9    5.0   -1.6    8.6 -2465430.5  6089691.5  -876207.0  6628003.0
1986 03 08 07 22 30.000    7.2    5.7   -1.3    9.3 -2463840.5  6085335.5  -874138.0  6623136.5
1986 03 08 07 23 30.000    7.2    7.2   -1.2   10.2 -2462248.8  6080989.0  -872243.8  6618301.0
1986 03 08 07 24 30.000    6.8    6.6   -1.2    9.5 -2460655.2  6076652.0  -870514.2  6613495.5
1986 03 08 07 25 30.000    7.2    5.5   -1.4    9.2 -2459060.0  6072324.0  -868939.6  6608718.0
1986 03 08 07 26 30.000    7.4    4.9   -1.5    9.0 -2457463.2  6068003.5  -867509.6  6603966.0
1986 03 08 07 27 30.000    7.6    4.8   -1.3    9.1 -2455865.0  6063691.0  -866214.5  6599238.5
1986 03 08 07 28 30.000    8.2    4.9   -1.9    9.7 -2454265.5  6059385.5  -865044.2  6594533.5
1986 03 08 07 29 30.000    8.5    4.8   -1.7    9.9 -2452664.8  6055086.5  -863988.8  6589849.0
1986 03 08 07 30 30.000    8.4    4.5   -1.7    9.7 -2451063.0  6050793.0  -863038.2  6585183.5
1986 03 08 07 31 30.000    8.4    4.3   -1.8    9.6 -2449460.0  6046505.0  -862182.4  6580534.5
1986 03 08 07 32 30.000    7.5    4.5   -1.4    8.9 -2447856.0  6042222.0  -861411.6  6575901.5
1986 03 08 07 33 30.000    7.6    4.6   -1.5    9.0 -2446251.2  6037943.0  -860715.6  6571281.0
1986 03 08 07 34 30.000    8.1    4.0   -1.8    9.2 -2444645.5  6033668.0  -860084.6  6566672.5
1986 03 08 07 35 30.000    8.0    3.9   -1.7    9.1 -2443039.2  6029396.0  -859508.5  6562074.0
1986 03 08 07 36 30.000    8.9    3.5   -2.0    9.7 -2441432.5  6025126.5  -858977.3  6557483.0
1986 03 08 07 37 30.000    8.9    3.1   -2.4    9.7 -2439825.0  6020859.0  -858481.1  6552898.5
1986 03 08 07 38 30.000    8.8    2.6   -2.4    9.5 -2438217.2  6016592.5  -858009.9  6548318.0
1986 03 08 07 39 30.000    8.6    2.7   -2.4    9.3 -2436609.2  6012327.5  -857553.6  6543741.0
1986 03 08 07 40 30.000    8.7    2.7   -2.4    9.4 -2435001.5  6008058.0  -857019.4  6539149.0
1986 03 08 07 41 30.000    9.4    2.3   -3.4   10.2 -2433394.8  6003784.0  -856402.1  6534543.0
1986 03 08 07 42 30.000    8.6    2.5   -3.8    9.8 -2431787.5  5999509.5  -855784.8  6529937.0
1986 03 08 07 43 30.000    7.2    2.4   -2.7    8.0 -2430180.2  5995235.5  -855167.6  6525330.5
1986 03 08 07 44 30.000    7.5    2.4   -2.7    8.4 -2428573.0  5990961.5  -854550.4  6520724.5
1986 03 08 07 45 30.000    7.5    2.3   -2.4    8.2 -2426965.2  5986687.5  -853933.1  6516118.0
1986 03 08 07 46 30.000    7.8    2.1   -2.7    8.5 -2425357.5  5982414.0  -853315.9  6511512.0
1986 03 08 07 47 30.000    8.3    1.3   -3.3    9.0 -2423749.5  5978140.0  -852698.8  6506905.5
1986 03 08 07 48 30.000    8.9    0.9   -4.3    9.9 -2422141.5  5973866.5  -852081.7  6502299.0
1986 03 08 07 49 30.000    9.1    1.0   -4.7   10.3 -2420533.2  5969593.0  -851464.6  6497693.0
1986 03 08 07 50 30.000    8.7    1.2   -4.6    9.9 -2418924.8  5965319.5  -850847.5  6493086.5
1986 03 08 07 51 30.000    3.9    2.0   -3.1    5.3 -2417316.0  5961046.0  -850230.6  6488480.5
1986 03 08 07 52 30.000    4.1    1.6   -3.6    5.7 -2415707.2  5956772.5  -849613.6  6483874.0
1986 03 08 07 53 30.000    4.8    1.4   -4.2    6.5 -2414098.2  5952499.5  -848996.7  6479268.5
1986 03 08 07 54 30.000    6.3    1.8   -3.8    7.6 -2412489.0  5948226.5  -848379.8  6474662.0
1986 03 08 07 55 30.000    6.6    1.7   -3.3    7.6 -2410879.8  5943953.0  -847762.9  6470055.5
1986 03 08 07 56 30.000    6.7    1.9   -3.9    8.0 -2409270.2  5939680.0  -847146.0  6465449.5
1986 03 08 07 57 30.000    7.5    1.0   -6.2    9.8 -2407660.8  5935407.0  -846529.1  6460843.5
1986 03 08 07 58 30.000    7.8    0.7   -8.1   11.3 -2406051.0  5931134.5  -845912.2  6456238.0
1986 03 08 07 59 30.000    7.3    2.1   -4.9    9.0 -2404441.0  5926861.5  -845295.4  6451631.5
1986 03 08 08 00 30.000    7.0    2.0   -4.5    8.6 -2402831.0  5922588.5  -844678.5  6447025.0
1986 03 08 08 01 30.000    6.8    2.2   -4.4    8.4 -2401221.0  5918315.5  -844061.6  6442419.0
1986 03 08 08 04 30.000    7.0    1.3   -4.6    8.5 -2396390.0  5905497.0  -842210.8  6428600.0
1986 03 08 08 05 30.000    6.7    1.7   -4.2    8.1 -2394779.2  5901224.5  -841593.9  6423994.0
1986 03 08 08 06 30.000    6.5    2.0   -3.6    7.7 -2393168.5  5896952.0  -840976.9  6419388.0
1986 03 08 08 07 30.000    6.0    2.8   -3.6    7.6 -2391557.5  5892679.5  -840360.1  6414781.5
1986 03 08 08 08 30.000    5.3    3.5   -3.2    7.1 -2389946.2  5888406.5  -839743.2  6410175.0
1986 03 08 08 09 30.000    3.9    5.5   -3.1    7.4 -2388334.8  5884134.0  -839126.4  6405568.5
1986 03 08 08 10 30.000    5.7    2.5   -4.6    7.7 -2386723.0  5879862.0  -838509.6  6400962.5
1986 03 08 08 11 30.000    5.6    2.5   -4.4    7.6 -2385111.0  5875589.5  -837892.9  6396356.0
1986 03 08 08 12 30.000    6.0    2.8   -4.3    7.9 -2383498.8  5871317.0  -837276.3  6391749.5
1986 03 08 08 13 30.000    6.5    1.9   -5.2    8.5 -2381886.5  5867045.0  -836659.7  6387143.5
