                                    Vega-2 spacecraft trajectory   
Time                           Solar Ecliptic                    HelioGraphic Inertial                              
YYYY-MM-DD hh:mm     Xse              Yse            Zse           R      Azim.  Elav.
                      km              km             km            au     degr.  degr. 
1984-12-26 21:00 -1.0984347E+007  1.4736611E+008  9.9501050E+005   0.988  18.61  -1.94
1984-12-27 21:00 -1.3351670E+007  1.4725635E+008  1.1711040E+006   0.988  19.53  -1.98
1984-12-28 21:00 -1.5714920E+007  1.4710126E+008  1.3447546E+006   0.989  20.45  -2.02
1984-12-29 21:00 -1.8075702E+007  1.4690075E+008  1.5185159E+006   0.989  21.37  -2.06
1984-12-30 21:00 -2.0430496E+007  1.4665526E+008  1.6923622E+006   0.990  22.29  -2.10
1984-12-31 21:00 -2.2778354E+007  1.4636504E+008  1.8662682E+006   0.990  23.20  -2.14
1985-01-01 21:00 -2.5120892E+007  1.4602990E+008  2.0376222E+006   0.991  24.12  -2.18
1985-01-02 21:00 -2.7454614E+007  1.4565042E+008  2.2089832E+006   0.991  25.04  -2.22
1985-01-03 21:00 -2.9781136E+007  1.4522642E+008  2.3777390E+006   0.991  25.95  -2.26
1985-01-04 21:00 -3.2096974E+007  1.4475851E+008  2.5490385E+006   0.991  26.87  -2.30
1985-01-05 21:00 -3.4406268E+007  1.4424590E+008  2.7176820E+006   0.991  27.79  -2.34
1985-01-06 21:00 -3.6703048E+007  1.4368998E+008  2.8836435E+006   0.992  28.70  -2.38
1985-01-07 21:00 -3.8988888E+007  1.4309029E+008  3.0520752E+006   0.992  29.62  -2.41
1985-01-08 21:00 -4.1262896E+007  1.4244720E+008  3.2177760E+006   0.992  30.53  -2.45
1985-01-09 21:00 -4.3524144E+007  1.4176093E+008  3.3833098E+006   0.992  31.45  -2.48
1985-01-10 21:00 -4.5774204E+007  1.4103099E+008  3.5460648E+006   0.991  32.36  -2.52
1985-01-11 21:00 -4.8007220E+007  1.4025925E+008  3.7086052E+006   0.991  33.28  -2.55
1985-01-12 21:00 -5.0227208E+007  1.3944434E+008  3.8709078E+006   0.991  34.19  -2.59
1985-01-13 21:00 -5.2433264E+007  1.3858659E+008  4.0303625E+006   0.991  35.11  -2.62
1985-01-14 21:00 -5.4622032E+007  1.3768715E+008  4.1895332E+006   0.991  36.03  -2.65
1985-01-15 21:00 -5.6795032E+007  1.3674541E+008  4.3483975E+006   0.990  36.95  -2.68
1985-01-16 21:00 -5.8949004E+007  1.3576277E+008  4.5043485E+006   0.990  37.86  -2.71
1985-01-17 21:00 -6.1087776E+007  1.3473744E+008  4.6599490E+006   0.989  38.78  -2.74
1985-01-18 21:00 -6.3205756E+007  1.3367194E+008  4.8125960E+006   0.989  39.70  -2.77
1985-01-19 21:00 -6.5304392E+007  1.3256554E+008  4.9648500E+006   0.988  40.62  -2.80
1985-01-20 21:00 -6.7385088E+007  1.3141742E+008  5.1166900E+006   0.988  41.55  -2.83
1985-01-21 21:00 -6.9442408E+007  1.3023040E+008  5.2655170E+006   0.987  42.47  -2.86
1985-01-22 21:00 -7.1480040E+007  1.2900250E+008  5.4113160E+006   0.987  43.40  -2.88
1985-01-23 21:00 -7.3497032E+007  1.2773398E+008  5.5566430E+006   0.986  44.32  -2.91
1985-01-24 21:00 -7.5488040E+007  1.2642785E+008  5.7014770E+006   0.985  45.25  -2.94
1985-01-25 21:00 -7.7458888E+007  1.2508071E+008  5.8432300E+006   0.984  46.18  -2.96
1985-01-26 21:00 -7.9402088E+007  1.2369694E+008  5.9844540E+006   0.983  47.11  -2.98
1985-01-27 21:00 -8.1323336E+007  1.2227300E+008  6.1225655E+006   0.982  48.04  -3.01
1985-01-28 21:00 -8.3219504E+007  1.2081060E+008  6.2601135E+006   0.982  48.98  -3.03
1985-01-29 21:00 -8.5087704E+007  1.1931178E+008  6.3945200E+006   0.981  49.91  -3.05
1985-01-30 21:00 -8.6931256E+007  1.1777410E+008  6.5257750E+006   0.979  50.85  -3.07
1985-01-31 21:00 -8.8745024E+007  1.1620089E+008  6.6564145E+006   0.978  51.79  -3.09
1985-02-01 21:00 -9.0532456E+007  1.1458990E+008  6.7838835E+006   0.977  52.73  -3.11
1985-02-02 21:00 -9.2290528E+007  1.1294302E+008  6.9107125E+006   0.976  53.68  -3.13
1985-02-03 21:00 -9.4020408E+007  1.1125928E+008  7.0343425E+006   0.975  54.63  -3.15
1985-02-04 21:00 -9.5719224E+007  1.0954076E+008  7.1573055E+006   0.974  55.58  -3.17
1985-02-05 21:00 -9.7386248E+007  1.0778818E+008  7.2770495E+006   0.972  56.53  -3.18
1985-02-06 21:00 -9.9024384E+007  1.0599874E+008  7.3935690E+006   0.971  57.48  -3.20
1985-02-07 21:00 -1.0062905E+008  1.0417643E+008  7.5068595E+006   0.970  58.44  -3.21
1985-02-08 21:00 -1.0220117E+008  1.0232007E+008  7.6194410E+006   0.968  59.40  -3.23
1985-02-09 21:00 -1.0373998E+008  1.0043038E+008  7.7287790E+006   0.967  60.36  -3.24
1985-02-10 21:00 -1.0524629E+008  9.8506064E+007  7.8373880E+006   0.965  61.33  -3.25
1985-02-11 21:00 -1.0671589E+008  9.6551544E+007  7.9427410E+006   0.963  62.30  -3.26
1985-02-12 21:00 -1.0815138E+008  9.4563824E+007  8.0448385E+006   0.962  63.27  -3.27
1985-02-13 21:00 -1.0955024E+008  9.2545448E+007  8.1436800E+006   0.960  64.25  -3.28
1985-02-14 21:00 -1.1091330E+008  9.0495224E+007  8.2392670E+006   0.958  65.23  -3.29
1985-02-15 21:00 -1.1223802E+008  8.8415712E+007  8.3340955E+006   0.957  66.21  -3.30
1985-02-16 21:00 -1.1352539E+008  8.6305896E+007  8.4231770E+006   0.955  67.20  -3.30
1985-02-17 21:00 -1.1477434E+008  8.4166336E+007  8.5114960E+006   0.953  68.19  -3.31
1985-02-18 21:00 -1.1598417E+008  8.1997888E+007  8.5965660E+006   0.951  69.18  -3.31
1985-02-19 21:00 -1.1715394E+008  7.9801256E+007  8.6808640E+006   0.949  70.18  -3.32
1985-02-20 21:00 -1.1828310E+008  7.7577424E+007  8.7594460E+006   0.947  71.19  -3.32
1985-02-21 21:00 -1.1937078E+008  7.5327144E+007  8.8347960E+006   0.945  72.19  -3.32
1985-02-22 21:00 -1.2041737E+008  7.3049096E+007  8.9093820E+006   0.943  73.20  -3.32
1985-02-23 21:00 -1.2142102E+008  7.0746384E+007  8.9782900E+006   0.941  74.22  -3.32
1985-02-24 21:00 -1.2238090E+008  6.8419840E+007  9.0439960E+006   0.939  75.24  -3.32
1985-02-25 21:00 -1.2329850E+008  6.6066016E+007  9.1089500E+006   0.937  76.26  -3.32
1985-02-26 21:00 -1.2417092E+008  6.3690248E+007  9.1682780E+006   0.935  77.29  -3.31
1985-02-27 21:00 -1.2499847E+008  6.1291260E+007  9.2244380E+006   0.933  78.33  -3.31
1985-02-28 21:00 -1.2578024E+008  5.8869944E+007  9.2798690E+006   0.930  79.36  -3.30
1985-03-01 21:00 -1.2651650E+008  5.6425076E+007  9.3297110E+006   0.928  80.41  -3.30
1985-03-02 21:00 -1.2720494E+008  5.3962256E+007  9.3764510E+006   0.926  81.46  -3.29
1985-03-03 21:00 -1.2784669E+008  5.1478012E+007  9.4176780E+006   0.923  82.51  -3.28
1985-03-04 21:00 -1.2844063E+008  4.8973244E+007  9.4582300E+006   0.921  83.57  -3.27
1985-03-05 21:00 -1.2898551E+008  4.6451368E+007  9.4933180E+006   0.919  84.64  -3.26
1985-03-06 21:00 -1.2948134E+008  4.3911156E+007  9.5253680E+006   0.916  85.71  -3.24
1985-03-07 21:00 -1.2992740E+008  4.1353716E+007  9.5544010E+006   0.914  86.79  -3.23
1985-03-08 21:00 -1.3032300E+008  3.8780160E+007  9.5804390E+006   0.911  87.87  -3.21
1985-03-09 21:00 -1.3066702E+008  3.6193964E+007  9.6011350E+006   0.909  88.96  -3.20
1985-03-10 21:00 -1.3096056E+008  3.3589404E+007  9.6188950E+006   0.906  90.05  -3.18
1985-03-11 21:00 -1.3120130E+008  3.0974560E+007  9.6313890E+006   0.903  91.15  -3.16
1985-03-12 21:00 -1.3138946E+008  2.8345988E+007  9.6433540E+006   0.901  92.26  -3.14
1985-03-13 21:00 -1.3152442E+008  2.5707320E+007  9.6477800E+006   0.898  93.38  -3.12
1985-03-14 21:00 -1.3160574E+008  2.3057442E+007  9.6493980E+006   0.895  94.50  -3.10
1985-03-15 21:00 -1.3163282E+008  2.0397632E+007  9.6482360E+006   0.893  95.62  -3.07
1985-03-16 21:00 -1.3160526E+008  1.7729212E+007  9.6420060E+006   0.890  96.76  -3.05
1985-03-17 21:00 -1.3152250E+008  1.5053499E+007  9.6307580E+006   0.887  97.90  -3.02
1985-03-18 21:00 -1.3138387E+008  1.2371810E+007  9.6168470E+006   0.884  99.05  -2.99
1985-03-19 21:00 -1.3118909E+008  9.6832250E+006  9.6003050E+006   0.882 100.20  -2.96
1985-03-20 21:00 -1.3093778E+008  6.9914455E+006  9.5765860E+006   0.879 101.37  -2.93
1985-03-21 21:00 -1.3062922E+008  4.2978475E+006  9.5503300E+006   0.876 102.54  -2.90
1985-03-22 21:00 -1.3026324E+008  1.6015845E+006  9.5192960E+006   0.873 103.71  -2.86
1985-03-23 21:00 -1.2983940E+008 -1.0958910E+006  9.4835410E+006   0.870 104.90  -2.83
1985-03-24 21:00 -1.2935712E+008 -3.7931010E+006  9.4453800E+006   0.867 106.09  -2.79
1985-03-25 21:00 -1.2881646E+008 -6.4863115E+006  9.4003480E+006   0.864 107.29  -2.75
1985-03-26 21:00 -1.2821657E+008 -9.1785050E+006  9.3530110E+006   0.862 108.50  -2.71
1985-03-27 21:00 -1.2755741E+008 -1.1865904E+007  9.3011720E+006   0.859 109.72  -2.67
1985-03-28 21:00 -1.2683846E+008 -1.4549179E+007  9.2448890E+006   0.856 110.95  -2.63
