Irregular moons of Saturn -- Ymir lightcurves from Cassini ISS

For more information, see https://tilmanndenk.de/outersaturnianmoons/ymir/#4
09 Oct 2018 / TD


ISS_218OT_YMICOL029

0.5100,0.321
0.5568,0.415
0.6037,0.427
0.6505,0.352
0.7442,0.284
0.7910,0.328
0.8378,0.305
0.8847,0.240
0.9783,0.139
0.0251,0.156
0.0720,0.253
0.1188,0.395
0.1656,0.611
0.2125,0.684
0.2593,0.394
0.3061,0.157
0.3530,0.069
0.3998,0.048
0.4466,0.145
0.4935,0.295



ISS_165OT_YMIROTA065

0.7493,0.546
0.7538,0.541
0.7653,0.671
0.7698,0.624
0.7812,0.711
0.7857,0.733
0.7972,0.813
0.8016,0.834
0.8131,0.868
0.8176,0.943
0.8290,0.932
0.8335,0.904
0.8450,0.786
0.8609,0.675
0.8654,0.573
0.8769,0.476
0.8813,0.405
0.8928,0.430
0.8973,0.368
0.9088,0.279
0.9132,0.263
0.9247,0.195
0.9292,0.161
0.9406,0.140
0.9451,0.061
0.9566,0.092
0.9610,0.089
0.9725,0.059
0.9770,0.122
0.9885,0.120
0.9929,0.078
0.0044,0.126
0.0089,0.189
0.0203,0.142
0.0248,0.196
0.0363,0.223
0.0522,0.340
0.0567,0.398
0.0682,0.465
0.0726,0.536
0.0841,0.636
0.0886,0.674
0.1000,0.805
0.1045,0.866
0.1160,1.046
0.1204,1.128
0.1319,1.336
0.1364,1.449
0.1479,1.877
0.1523,1.796
0.1638,1.775
0.1797,1.806
0.1842,1.816
0.1957,1.802
0.2002,1.678
0.2161,1.634
0.2276,1.228
0.2320,1.015
0.2435,0.918
0.2480,0.803
0.2594,0.678
0.2639,0.673
0.2754,0.452
0.2799,0.348
0.2913,0.377
0.3072,0.250
0.3117,0.237
0.3232,0.173
0.3277,0.127
0.3391,0.117
0.3436,0.077
0.3551,0.103
0.3595,0.079
0.3710,0.105
0.3755,0.109
0.3870,0.095
0.3914,0.079
0.4029,0.211
0.4074,0.138
0.4188,0.176
0.4233,0.263
0.4348,0.283
0.4393,0.358
0.4507,0.419
0.4552,0.494
0.4667,0.533
0.4711,0.616
0.4871,0.674
0.4985,0.857
0.5030,0.898
0.5145,0.973
0.5190,0.938
0.5304,0.944
0.5349,1.149



ISS_165OT_YMIROTB065

0.1512,1.602
0.1557,1.732
0.1667,1.932
0.1712,1.873
0.1822,1.843
0.1867,1.814
0.1978,1.698
0.2133,1.494
0.2178,1.453
0.2288,1.164
0.2332,1.116
0.2443,0.888
0.2488,0.821
0.2598,0.587
0.2643,0.592
0.2753,0.495
0.2798,0.445
0.2909,0.374
0.2953,0.353
0.3064,0.268
0.3108,0.247
0.3219,0.186
0.3264,0.182
0.3374,0.143
0.3419,0.176
0.3529,0.137
0.3574,0.124
0.3684,0.105
0.3729,0.104
0.3995,0.162
0.4039,0.155
0.4150,0.249
0.4195,0.235
0.4305,0.324
0.4350,0.326
0.4460,0.424
0.4505,0.422
0.4615,0.515
0.4660,0.509
0.4771,0.642
0.4815,0.706
0.4970,0.755
0.5081,0.887
0.5126,0.918
0.5236,1.004
0.5281,0.955
0.5391,1.124
0.5436,1.061
0.5546,0.981
0.5591,0.942
0.5702,0.787
0.5746,0.810
0.5857,0.662
0.5902,0.656
0.6012,0.618
0.6057,0.588
0.6167,0.545
0.6212,0.544
0.6322,0.445
0.6367,0.374
0.6477,0.410
0.6522,0.408
0.6633,0.387
0.6677,0.336
0.6788,0.349
0.6833,0.334
0.6987,0.415
0.7098,0.396
0.7143,0.385
0.7253,0.436
0.7298,0.436
0.7409,0.446
0.7453,0.533
0.7564,0.560
0.7608,0.601
0.7719,0.670
0.7874,0.766
0.7919,0.732
0.8029,0.825
0.8074,0.938
0.8184,0.994
0.8229,0.932
0.8339,0.847
0.8384,0.827



ISS_168OT_YMIROT095

0.1300,1.857
0.1347,1.993
0.1393,2.043
0.1440,2.095
0.1486,2.194
0.1533,2.143
0.1579,2.214
0.1626,2.296
0.1672,2.347
0.1719,2.100
0.1765,2.106
0.1812,2.193
0.1945,2.082
0.2013,2.206
0.2146,2.368
0.2280,2.063
0.2414,2.185
0.2481,2.057
0.2548,1.942
0.2734,1.847
0.2827,1.579
0.2941,1.437
0.3008,1.180
0.3075,1.007
0.3142,0.856
0.3208,0.761
0.3276,0.669
0.3409,0.491
0.3543,0.427
0.3610,0.331
0.3677,0.296
0.3744,0.182
0.3811,0.299
0.3878,0.247
0.3945,0.234
0.4012,0.258
0.4079,0.252
0.4146,0.191
0.4213,0.335
0.4280,0.379
0.4388,0.455
0.4496,0.481
0.4604,0.566
0.4650,0.547
0.4743,0.716
0.5069,1.168
0.5217,1.466
0.5393,1.648
0.5588,1.271
0.5635,1.444
0.5681,1.383
0.5728,1.331
0.5774,1.092
0.5821,1.234
0.5867,1.140
0.5914,1.181
0.5960,1.060
0.6007,1.051
0.6114,0.801
0.6511,0.661
0.6578,0.612
0.6644,0.583
0.6712,0.558
0.6778,0.496
0.8673,1.461
0.8720,1.401
0.8896,1.229
0.8943,1.300
0.9044,0.959
0.9091,0.851
0.9137,0.822
0.9184,0.725
0.9230,0.678
0.9323,0.533
0.9370,0.475
0.9416,0.379
0.9463,0.335
0.9509,0.363
0.9617,0.228
0.9725,0.188
0.9833,0.152
0.9880,0.143
0.9947,0.103
0.0013,0.139
0.0081,0.159
0.0147,0.139
0.0214,0.134
0.0281,0.196
0.0348,0.230
0.0415,0.287
0.0482,0.335
0.0616,0.397
0.0683,0.508
0.0750,0.540
0.0884,0.664
0.0951,0.855
0.1018,0.886
0.1085,1.032

0.1935,2.268
0.1982,2.283
0.2075,2.071
0.2176,2.260
0.2223,2.260
0.2547,1.945
0.2594,2.190
0.2640,1.966
0.2687,1.867
0.2733,1.857
0.2780,1.785
0.2827,1.659
0.2873,1.516
0.2920,1.534
0.2966,1.280
0.3013,1.067
0.3120,0.867
0.3228,0.730
0.3336,0.560
0.3383,0.491
0.3449,0.452
0.4387,0.378
0.4454,0.390
0.4521,0.521
0.4588,0.566
0.4655,0.661
0.4789,0.775
0.4897,0.912
0.5005,1.023
0.5298,1.579
0.5345,1.634
0.5391,1.519
0.5438,1.563
0.5484,1.437
0.5531,1.431
0.5577,1.555
0.5679,1.268
0.5726,1.211
0.5902,0.979
0.5948,1.029
0.6050,0.877
0.6097,0.967
0.6143,0.937
0.6190,0.819
0.6236,0.806
0.6283,0.729
0.6329,0.815
0.6376,0.583
0.6422,0.716
0.6469,0.663
0.6515,0.675
0.6623,0.555
0.6731,0.610
0.6839,0.586
0.6886,0.504
0.7019,0.485
0.7087,0.524
0.7153,0.478
0.7220,0.455
0.7287,0.568
0.7354,0.532
0.7421,0.574
0.7488,0.651
0.7555,0.737
0.7622,0.767
0.7689,0.835
0.7756,0.853
0.7823,0.931
0.7890,1.072
0.7957,1.041
0.8024,1.106
0.8091,1.295
0.8158,1.359
0.8225,1.405
0.8292,1.534
0.8359,1.648
0.8426,1.538
0.8560,1.690
0.8627,1.454
0.8694,1.544
0.8760,1.326
0.8827,1.292
0.8894,1.237
0.8961,1.007
0.9028,0.962
0.9095,0.897
0.9162,0.705
0.9229,0.657
0.9296,0.581
0.9363,0.530
0.9430,0.395
0.9497,0.295
0.9564,0.279
0.9631,0.237
0.9698,0.204
0.9765,0.177
0.9832,0.104
0.9899,0.146
0.9966,0.098
0.0033,0.113
0.0099,0.158
0.0167,0.193
0.0233,0.180
0.0300,0.227
0.0367,0.220
0.0434,0.281
0.0501,0.280
0.0568,0.436
0.0635,0.366
0.0702,0.446
0.0769,0.619
0.0970,0.959
0.1037,0.913
0.1104,1.034

0.1506,2.126
0.1573,2.341
0.1640,2.193
0.1707,2.125
0.2041,2.137
0.2175,2.184
0.2242,2.191
0.2376,2.197
0.2510,2.053
0.2577,1.905
0.2644,2.077
0.2711,2.059
0.2778,1.863
0.2845,1.596
0.2912,1.422
0.2979,1.127
0.3046,0.959
0.3113,0.908
0.3180,0.810
0.3247,0.618
0.3313,0.579
0.3381,0.483
0.3514,0.336
0.3581,0.342
0.3715,0.283
0.3782,0.225
0.3849,0.239
0.3916,0.222
0.3983,0.238
0.4050,0.225
0.4117,0.306
0.4184,0.312
0.4251,0.375
0.4318,0.380
0.5858,1.218
0.5925,1.192
0.5992,1.034
0.6059,0.994
0.6126,0.885
0.6193,0.762
0.6260,0.805
0.6394,0.559
0.6461,0.546
0.6528,0.688
0.6595,0.496
0.6662,0.582
0.6729,0.484
0.6796,0.527
0.6929,0.540
0.6996,0.505
0.7098,0.502
0.7275,0.491
0.7376,0.575
0.7553,0.648
0.7654,0.754
0.7933,1.049
0.8109,1.160
0.8211,1.511
0.8387,1.584
0.8767,1.411
0.8943,1.331
0.9045,0.942
0.9323,0.460
0.9499,0.389
0.9601,0.230
0.9777,0.101
0.9879,0.112
0.0055,0.059
0.0157,0.193
0.0333,0.187
0.0435,0.363
0.0713,0.445
0.0889,0.799
0.0991,0.960
0.1168,1.382
0.1270,1.611

0.1447,2.034
0.1494,2.144
0.1540,2.078
0.1633,2.084
0.1680,2.243
0.1773,2.083
0.1819,2.083
0.1912,2.361
0.1959,2.273
0.2005,2.328
0.2098,2.242

