dp_id,dp_cat,dp_type,dp_tech,object,target,ob_name,tpl_start,tpl_id,tpl_expno,tpl_nexp,exposure,det_dit,det_ndit,ins_mode,release_date,access_estsize
AMBER.2013-12-06T23:43:06.093,CALIB,"WAVE,3TEL",INTERFEROMETRY,"WAVE,3TEL",RDOR,SCI_rdor_HRK2.288,2013-12-06T23:35:03,AMBER_3Tstd_acq,4,17,20.0,1.0,20,3Tstd_High_K_1_2.288,2013-12-06T23:43:06.927Z,1002
AMBER.2013-12-06T23:43:33.817,CALIB,"WAVE,3TEL",INTERFEROMETRY,"WAVE,3TEL",RDOR,SCI_rdor_HRK2.288,2013-12-06T23:35:03,AMBER_3Tstd_acq,5,17,20.0,1.0,20,3Tstd_High_K_1_2.288,2013-12-06T23:43:33.817Z,2016
AMBER.2013-12-06T23:44:01.199,CALIB,"WAVE,3TEL",INTERFEROMETRY,"WAVE,3TEL",RDOR,SCI_rdor_HRK2.288,2013-12-06T23:35:03,AMBER_3Tstd_acq,6,17,20.0,1.0,20,3Tstd_High_K_1_2.288,2013-12-06T23:44:01.200Z,2244
AMBER.2013-12-06T23:44:28.838,CALIB,"WAVE,3TEL",INTERFEROMETRY,"WAVE,3TEL",RDOR,SCI_rdor_HRK2.288,2013-12-06T23:35:03,AMBER_3Tstd_acq,7,17,20.0,1.0,20,3Tstd_High_K_1_2.288,2013-12-06T23:44:28.837Z,2157
AMBER.2013-12-06T23:45:26.666,CALIB,3P2V,INTERFEROMETRY,3P2V,RDOR,SCI_rdor_HRK2.288,2013-12-06T23:35:03,AMBER_3Tstd_acq,8,17,3.72,0.186,20,3Tstd_High_K_1_2.288,2013-12-06T23:45:26.667Z,850
AMBER.2013-12-06T23:45:39.504,CALIB,3P2V,INTERFEROMETRY,3P2V,RDOR,SCI_rdor_HRK2.288,2013-12-06T23:35:03,AMBER_3Tstd_acq,9,17,3.72,0.186,20,3Tstd_High_K_1_2.288,2013-12-06T23:45:39.503Z,1673
AMBER.2013-12-06T23:45:52.436,CALIB,3P2V,INTERFEROMETRY,3P2V,RDOR,SCI_rdor_HRK2.288,2013-12-06T23:35:03,AMBER_3Tstd_acq,10,17,3.72,0.186,20,3Tstd_High_K_1_2.288,2013-12-06T23:45:52.437Z,1805
AMBER.2013-12-06T23:46:05.150,CALIB,3P2V,INTERFEROMETRY,3P2V,RDOR,SCI_rdor_HRK2.288,2013-12-06T23:35:03,AMBER_3Tstd_acq,11,17,3.72,0.186,20,3Tstd_High_K_1_2.288,2013-12-06T23:46:05.150Z,2220
AMBER.2013-12-06T23:46:17.870,CALIB,3P2V,INTERFEROMETRY,3P2V,RDOR,SCI_rdor_HRK2.288,2013-12-06T23:35:03,AMBER_3Tstd_acq,12,17,3.72,0.186,20,3Tstd_High_K_1_2.288,2013-12-06T23:46:17.870Z,2201
AMBER.2013-12-06T23:46:30.624,CALIB,3P2V,INTERFEROMETRY,3P2V,RDOR,SCI_rdor_HRK2.288,2013-12-06T23:35:03,AMBER_3Tstd_acq,13,17,3.72,0.186,20,3Tstd_High_K_1_2.288,2013-12-06T23:46:30.623Z,1655
