dp_id,access_estsize,dp_cat,dp_type,object,prog_id,ins_mode,tpl_start,release_date
PIONI.2014-09-25T22:35:56.658,3481,CALIB,"FRINGE,LAMP","FRINGE,LAMP",60.A-9209(A),CALIB-H,2014-09-25T22:35:53,2014-09-25T22:35:56.657Z
PIONI.2014-09-25T22:36:14.691,3321,CALIB,DARK,DARK,60.A-9209(A),CALIB-H,2014-09-25T22:36:11,2014-09-25T22:36:14.690Z
PIONI.2014-09-25T22:36:31.954,3365,CALIB,"KAPPA,LAMP","KAPPA,LAMP",60.A-9209(A),CALIB-H,2014-09-25T22:36:11,2014-09-25T22:36:31.953Z
PIONI.2014-09-25T22:36:49.411,3359,CALIB,"KAPPA,LAMP","KAPPA,LAMP",60.A-9209(A),CALIB-H,2014-09-25T22:36:11,2014-09-25T22:36:49.410Z
PIONI.2014-09-25T22:37:07.076,3345,CALIB,"KAPPA,LAMP","KAPPA,LAMP",60.A-9209(A),CALIB-H,2014-09-25T22:36:11,2014-09-25T22:37:07.760Z
PIONI.2014-09-25T22:37:24.477,3343,CALIB,"KAPPA,LAMP","KAPPA,LAMP",60.A-9209(A),CALIB-H,2014-09-25T22:36:11,2014-09-25T22:37:24.477Z
PIONI.2014-09-25T22:48:00.483,3482,CALIB,"FRINGE,LAMP","FRINGE,LAMP",60.A-9209(A),CALIB-H,2014-09-25T22:47:57,2014-09-25T22:48:00.483Z
PIONI.2014-09-25T22:48:18.538,3308,CALIB,DARK,DARK,60.A-9209(A),CALIB-H,2014-09-25T22:48:15,2014-09-25T22:48:18.537Z
PIONI.2014-09-25T22:48:35.815,3333,CALIB,"KAPPA,LAMP","KAPPA,LAMP",60.A-9209(A),CALIB-H,2014-09-25T22:48:15,2014-09-25T22:48:35.817Z
PIONI.2014-09-25T22:48:53.379,3346,CALIB,"KAPPA,LAMP","KAPPA,LAMP",60.A-9209(A),CALIB-H,2014-09-25T22:48:15,2014-09-25T22:48:53.377Z
PIONI.2014-09-25T23:14:30.818,16369,CALIB,DARK,DARK,093.D-0598(A),OBSERV-H,2014-09-25T23:14:26,2014-09-25T23:14:30.817Z
PIONI.2014-09-25T23:15:46.468,8318,CALIB,"KAPPA,OBJECT","KAPPA,OBJECT",093.D-0598(A),OBSERV-H,2014-09-25T23:15:42,2014-09-25T23:15:46.467Z
PIONI.2014-09-25T23:16:27.075,8243,CALIB,"KAPPA,OBJECT","KAPPA,OBJECT",093.D-0598(A),OBSERV-H,2014-09-25T23:15:42,2014-09-25T23:16:27.747Z
PIONI.2014-09-25T23:17:07.329,8276,CALIB,"KAPPA,OBJECT","KAPPA,OBJECT",093.D-0598(A),OBSERV-H,2014-09-25T23:15:42,2014-09-25T23:17:07.330Z
PIONI.2014-09-25T23:17:48.248,8324,CALIB,"KAPPA,OBJECT","KAPPA,OBJECT",093.D-0598(A),OBSERV-H,2014-09-25T23:15:42,2014-09-25T23:17:48.247Z
PIONI.2014-09-25T23:35:49.265,17202,SCIENCE,"FRINGE,OBJECT",LAM_GRU,093.D-0598(A),OBSERV-H,2014-09-25T23:35:45,2015-09-25T23:46:00.733Z
PIONI.2014-09-25T23:37:04.735,17207,SCIENCE,"FRINGE,OBJECT",LAM_GRU,093.D-0598(A),OBSERV-H,2014-09-25T23:35:45,2015-09-25T23:46:00.733Z
PIONI.2014-09-25T23:38:20.248,17222,SCIENCE,"FRINGE,OBJECT",LAM_GRU,093.D-0598(A),OBSERV-H,2014-09-25T23:35:45,2015-09-25T23:51:08.667Z
PIONI.2014-09-25T23:39:35.914,17304,SCIENCE,"FRINGE,OBJECT",LAM_GRU,093.D-0598(A),OBSERV-H,2014-09-25T23:35:45,2015-09-25T23:51:08.667Z
PIONI.2014-09-25T23:40:51.288,17277,SCIENCE,"FRINGE,OBJECT",LAM_GRU,093.D-0598(A),OBSERV-H,2014-09-25T23:35:45,2015-09-25T23:51:08.667Z
PIONI.2014-09-25T23:42:07.068,16100,CALIB,DARK,DARK,093.D-0598(A),OBSERV-H,2014-09-25T23:42:02,2014-09-25T23:42:07.673Z
PIONI.2014-09-25T23:46:19.406,18145,SCIENCE,"FRINGE,OBJECT",PI_GRU,093.D-0598(A),OBSERV-H,2014-09-25T23:46:15,2015-09-25T23:56:07.400Z
PIONI.2014-09-25T23:47:34.676,18207,SCIENCE,"FRINGE,OBJECT",PI_GRU,093.D-0598(A),OBSERV-H,2014-09-25T23:46:15,2015-09-26T00:00:58.460Z
PIONI.2014-09-25T23:48:50.291,18171,SCIENCE,"FRINGE,OBJECT",PI_GRU,093.D-0598(A),OBSERV-H,2014-09-25T23:46:15,2015-09-26T00:00:58.460Z
PIONI.2014-09-25T23:50:06.118,18199,SCIENCE,"FRINGE,OBJECT",PI_GRU,093.D-0598(A),OBSERV-H,2014-09-25T23:46:15,2015-09-26T00:00:58.460Z
