dp_id,dp_cat,dp_tech,dp_type,object,filter_path,det_dit,det_ndit,exposure,exp_start,tpl_start,tpl_id,prog_id,release_date,instrument
NACO.2007-11-11T02:38:36.826,ACQUISITION,IMAGE,SKY,CERES,KS,2.0,1,2.0,2007-11-11T02:38:36.827Z,2007-11-11T02:34:28,NACO_img_acq_MoveToPixel,080.C-0881(C),2008-11-11T02:38:36.827Z,NAOS+CONICA
NACO.2007-11-11T02:39:14.592,SCIENCE,"IMAGE,JITTER",OBJECT,CERES,KS,2.0,5,10.0,2007-11-11T02:39:14.590Z,2007-11-11T02:38:47,NACO_img_obs_GenericOffset,080.C-0881(C),2008-11-11T02:39:14.593Z,NAOS+CONICA
NACO.2007-11-11T02:39:28.400,SCIENCE,"IMAGE,JITTER",OBJECT,CERES,KS,2.0,5,10.0,2007-11-11T02:39:28.400Z,2007-11-11T02:38:47,NACO_img_obs_GenericOffset,080.C-0881(C),2008-11-11T02:39:28.400Z,NAOS+CONICA
NACO.2007-11-11T02:39:46.076,SCIENCE,"IMAGE,JITTER",OBJECT,CERES,KS,2.0,5,10.0,2007-11-11T02:39:46.757Z,2007-11-11T02:38:47,NACO_img_obs_GenericOffset,080.C-0881(C),2008-11-11T02:39:46.077Z,NAOS+CONICA
NACO.2007-11-11T02:40:00.096,SCIENCE,"IMAGE,JITTER",OBJECT,CERES,KS,2.0,5,10.0,2007-11-11T02:40:00.957Z,2007-11-11T02:38:47,NACO_img_obs_GenericOffset,080.C-0881(C),2008-11-11T02:40:00.097Z,NAOS+CONICA
NACO.2007-11-11T02:40:15.647,SCIENCE,"IMAGE,JITTER",OBJECT,CERES,KS,2.0,5,10.0,2007-11-11T02:40:15.647Z,2007-11-11T02:38:47,NACO_img_obs_GenericOffset,080.C-0881(C),2008-11-11T02:40:15.647Z,NAOS+CONICA
NACO.2007-11-11T02:40:45.991,SCIENCE,"IMAGE,JITTER",OBJECT,CERES,KS,2.0,5,10.0,2007-11-11T02:40:45.990Z,2007-11-11T02:38:47,NACO_img_obs_GenericOffset,080.C-0881(C),2008-11-11T02:40:45.990Z,NAOS+CONICA
NACO.2007-11-11T02:40:59.963,SCIENCE,"IMAGE,JITTER",OBJECT,CERES,KS,2.0,5,10.0,2007-11-11T02:40:59.963Z,2007-11-11T02:38:47,NACO_img_obs_GenericOffset,080.C-0881(C),2008-11-11T02:40:59.963Z,NAOS+CONICA
NACO.2007-11-11T02:41:15.626,SCIENCE,"IMAGE,JITTER",OBJECT,CERES,KS,2.0,5,10.0,2007-11-11T02:41:15.627Z,2007-11-11T02:38:47,NACO_img_obs_GenericOffset,080.C-0881(C),2008-11-11T02:41:15.627Z,NAOS+CONICA
NACO.2007-11-11T02:41:29.750,SCIENCE,"IMAGE,JITTER",OBJECT,CERES,KS,2.0,5,10.0,2007-11-11T02:41:29.750Z,2007-11-11T02:38:47,NACO_img_obs_GenericOffset,080.C-0881(C),2008-11-11T02:41:29.750Z,NAOS+CONICA
